listing_id,date,vacant_days,reserved_days,occupancy,revenue,rate_avg,booked_rate_avg,booking_lead_time_avg,length_of_stay_avg,min_nights_avg,native_booked_rate_avg,native_rate_avg,native_revenue
5696919,2026-06-01,12,18,0.6,3251.0,174.0,180.6,59,3,1,181.0,174.0,3251.0
5696919,2026-07-01,29,2,0.065,362.0,167.9,181.0,119,2,1,181.0,168.0,362.0
5696919,2026-08-01,25,6,0.194,944.0,152.2,157.3,124,3,1,157.0,152.0,944.0
5696919,2026-09-01,26,4,0.133,687.0,165.8,171.8,116,4,1,172.0,166.0,687.0
5696919,2026-10-01,31,0,0.0,0.0,174.5,,,,1,,175.0,0.0
5696919,2026-11-01,30,0,0.0,0.0,173.0,,,,1,,173.0,0.0
5696919,2026-12-01,31,0,0.0,0.0,168.8,,,,1,,169.0,0.0
5696919,2027-01-01,31,0,0.0,0.0,162.4,,,,1,,162.0,0.0
5696919,2027-02-01,28,0,0.0,0.0,155.9,,,,1,,156.0,0.0
5696919,2027-03-01,31,0,0.0,0.0,161.4,,,,1,,161.0,0.0
5696919,2027-04-01,30,0,0.0,0.0,164.5,,,,1,,165.0,0.0
5696919,2027-05-01,31,0,0.0,0.0,163.9,,,,1,,164.0,0.0
8133377,2026-06-01,19,11,0.367,6816.0,626.0,619.6,150,3,2,620.0,626.0,6816.0
8133377,2026-07-01,9,22,0.71,14373.0,654.7,653.3,123,5,1,653.0,655.0,14373.0
8133377,2026-08-01,31,0,0.0,0.0,656.5,,,,2,,657.0,0.0
8133377,2026-09-01,27,3,0.1,1903.0,644.9,634.3,204,3,2,634.0,645.0,1903.0
8133377,2026-10-01,18,13,0.419,8490.0,651.0,653.1,269,3,2,653.0,651.0,8490.0
8133377,2026-11-01,28,2,0.067,1279.0,656.2,639.5,,,2,640.0,656.0,1279.0
8133377,2026-12-01,20,11,0.355,7185.0,660.7,653.2,222,14,2,653.0,661.0,7185.0
8133377,2027-01-01,28,3,0.097,1955.0,636.3,651.7,,,2,652.0,636.0,1955.0
8133377,2027-02-01,28,0,0.0,0.0,617.0,,,,2,,617.0,0.0
8133377,2027-03-01,31,0,0.0,0.0,622.7,,,,2,,623.0,0.0
8133377,2027-04-01,30,0,0.0,0.0,618.5,,,,2,,619.0,0.0
8133377,2027-05-01,31,0,0.0,0.0,641.9,,,,2,,642.0,0.0
18151750,2026-06-01,20,10,0.333,1299.0,123.3,129.9,70,1,1,130.0,123.0,1299.0
18151750,2026-07-01,16,15,0.484,1794.0,123.3,119.6,57,3,1,120.0,123.0,1794.0
