listing_id,date,vacant_days,reserved_days,occupancy,revenue,rate_avg,booked_rate_avg,booking_lead_time_avg,length_of_stay_avg,min_nights_avg,native_booked_rate_avg,native_rate_avg,native_revenue
32325635,2026-06-01,30,0,0.0,0.0,242.3,,,,7,,242.0,0.0
32325635,2026-07-01,31,0,0.0,0.0,241.4,,,,,,241.0,0.0
32325635,2026-08-01,31,0,0.0,0.0,243.1,,,,,,243.0,0.0
32325635,2026-09-01,30,0,0.0,0.0,236.3,,,,,,236.0,0.0
32325635,2026-10-01,31,0,0.0,0.0,241.8,,,,,,242.0,0.0
32325635,2026-11-01,30,0,0.0,0.0,239.6,,,,,,240.0,0.0
32325635,2026-12-01,31,0,0.0,0.0,249.6,,,,,,250.0,0.0
32325635,2027-01-01,31,0,0.0,0.0,242.4,,,,,,242.0,0.0
32325635,2027-02-01,28,0,0.0,0.0,241.7,,,,,,242.0,0.0
32325635,2027-03-01,31,0,0.0,0.0,241.7,,,,,,242.0,0.0
32325635,2027-04-01,30,0,0.0,0.0,241.5,,,,,,242.0,0.0
32325635,2027-05-01,31,0,0.0,0.0,242.9,,,,,,243.0,0.0
41058387,2026-06-01,4,26,0.867,11174.0,425.7,429.8,61,3,4,430.0,426.0,11174.0
41058387,2026-07-01,7,24,0.774,12526.0,523.8,521.9,76,4,3,522.0,524.0,12526.0
41058387,2026-08-01,30,1,0.032,522.0,520.5,522.0,,,4,522.0,521.0,522.0
41058387,2026-09-01,26,4,0.133,1499.0,417.2,374.8,118,4,3,375.0,417.0,1499.0
41058387,2026-10-01,31,0,0.0,0.0,378.8,,,,2,,379.0,0.0
41058387,2026-11-01,30,0,0.0,0.0,373.4,,,,2,,373.0,0.0
41058387,2026-12-01,31,0,0.0,0.0,393.0,,,,2,,393.0,0.0
41058387,2027-01-01,31,0,0.0,0.0,376.8,,,,2,,377.0,0.0
41058387,2027-02-01,28,0,0.0,0.0,371.6,,,,2,,372.0,0.0
41058387,2027-03-01,31,0,0.0,0.0,369.2,,,,2,,369.0,0.0
41058387,2027-04-01,30,0,0.0,0.0,379.2,,,,2,,379.0,0.0
41058387,2027-05-01,25,6,0.194,2245.0,381.3,374.2,350,3,2,374.0,381.0,2245.0
16588053,2026-06-01,23,7,0.233,2700.0,385.3,385.7,151,3,2,386.0,385.0,2700.0
16588053,2026-07-01,20,11,0.355,4314.0,402.9,392.2,182,5,2,392.0,403.0,4314.0
16588053,2026-08-01,31,0,0.0,0.0,377.9,,,,2,,378.0,0.0
16588053,2026-09-01,30,0,0.0,0.0,391.3,,,,2,,391.0,0.0
16588053,2026-10-01,31,0,0.0,0.0,365.5,,,,2,,366.0,0.0
16588053,2026-11-01,30,0,0.0,0.0,367.4,,,,2,,367.0,0.0
16588053,2026-12-01,31,0,0.0,0.0,376.0,,,,2,,376.0,0.0
16588053,2027-01-01,31,0,0.0,0.0,383.5,,,,2,,384.0,0.0
16588053,2027-02-01,28,0,0.0,0.0,378.0,,,,,,378.0,0.0
16588053,2027-03-01,31,0,0.0,0.0,379.6,,,,,,380.0,0.0
16588053,2027-04-01,30,0,0.0,0.0,378.4,,,,,,378.0,0.0
16588053,2027-05-01,31,0,0.0,0.0,381.5,,,,,,382.0,0.0
22727918,2026-06-01,12,18,0.6,9067.0,493.3,503.7,86,5,6,504.0,493.0,9067.0
22727918,2026-07-01,6,25,0.806,12836.0,500.5,513.4,157,7,6,513.0,501.0,12836.0
22727918,2026-08-01,17,14,0.452,5134.0,355.8,366.7,108,6,4,367.0,356.0,5134.0
22727918,2026-09-01,30,0,0.0,0.0,343.7,,,,2,,344.0,0.0
22727918,2026-10-01,31,0,0.0,0.0,326.7,,,,2,,327.0,0.0
22727918,2026-11-01,30,0,0.0,0.0,333.3,,,,2,,333.0,0.0
22727918,2026-12-01,31,0,0.0,0.0,346.6,,,,2,,347.0,0.0
22727918,2027-01-01,31,0,0.0,0.0,345.4,,,,2,,345.0,0.0
22727918,2027-02-01,28,0,0.0,0.0,336.0,,,,2,,336.0,0.0
22727918,2027-03-01,31,0,0.0,0.0,340.0,,,,2,,340.0,0.0
22727918,2027-04-01,30,0,0.0,0.0,405.2,,,,2,,405.0,0.0
22727918,2027-05-01,31,0,0.0,0.0,421.6,,,,2,,422.0,0.0
42666690,2026-06-01,0,30,1.0,11778.0,392.6,392.6,87,7,7,393.0,393.0,11778.0
42666690,2026-07-01,0,31,1.0,12466.0,402.1,402.1,100,7,7,402.0,402.0,12466.0
42666690,2026-08-01,17,14,0.452,5307.0,394.5,379.1,99,3,3,379.0,395.0,5307.0
42666690,2026-09-01,25,5,0.167,1980.0,366.7,396.0,127,5,2,396.0,367.0,1980.0
42666690,2026-10-01,26,5,0.161,1607.0,322.6,321.4,162,5,2,321.0,323.0,1607.0
42666690,2026-11-01,30,0,0.0,0.0,282.6,,,,2,,283.0,0.0
42666690,2026-12-01,30,1,0.032,324.0,289.2,324.0,310,1,2,324.0,289.0,324.0
42666690,2027-01-01,31,0,0.0,0.0,382.9,,,,2,,383.0,0.0
42666690,2027-02-01,28,0,0.0,0.0,443.0,,,,2,,443.0,0.0
42666690,2027-03-01,31,0,0.0,0.0,448.0,,,,2,,448.0,0.0
42666690,2027-04-01,30,0,0.0,0.0,444.8,,,,2,,445.0,0.0
42666690,2027-05-01,31,0,0.0,0.0,422.3,,,,2,,422.0,0.0
23189790,2026-06-01,30,0,0.0,0.0,622.0,,,,3,,622.0,0.0
23189790,2026-07-01,24,7,0.226,4198.0,600.7,599.7,149,7,4,600.0,601.0,4198.0
23189790,2026-08-01,31,0,0.0,0.0,532.4,,,,3,,532.0,0.0
23189790,2026-09-01,30,0,0.0,0.0,438.4,,,,3,,438.0,0.0
23189790,2026-10-01,31,0,0.0,0.0,464.3,,,,3,,464.0,0.0
23189790,2026-11-01,30,0,0.0,0.0,510.5,,,,3,,511.0,0.0
23189790,2026-12-01,31,0,0.0,0.0,555.3,,,,3,,555.0,0.0
23189790,2027-01-01,31,0,0.0,0.0,530.9,,,,2,,531.0,0.0
23189790,2027-02-01,28,0,0.0,0.0,500.2,,,,2,,500.0,0.0
23189790,2027-03-01,31,0,0.0,0.0,522.9,,,,,,523.0,0.0
23189790,2027-04-01,30,0,0.0,0.0,513.2,,,,,,513.0,0.0
23189790,2027-05-01,31,0,0.0,0.0,532.0,,,,,,532.0,0.0
35642410,2026-06-01,12,18,0.6,4680.0,261.6,260.0,264,4,2,260.0,262.0,4680.0
35642410,2026-07-01,15,16,0.516,5520.0,356.5,345.0,82,5,3,345.0,357.0,5520.0
35642410,2026-08-01,14,17,0.548,4037.0,244.8,237.5,198,5,3,238.0,245.0,4037.0
35642410,2026-09-01,24,6,0.2,1267.0,201.4,211.2,182,3,3,211.0,201.0,1267.0
35642410,2026-10-01,24,7,0.226,1334.0,190.1,190.6,335,7,3,191.0,190.0,1334.0
35642410,2026-11-01,30,0,0.0,0.0,186.8,,,,3,,187.0,0.0
35642410,2026-12-01,31,0,0.0,0.0,190.7,,,,3,,191.0,0.0
35642410,2027-01-01,31,0,0.0,0.0,202.9,,,,3,,203.0,0.0
35642410,2027-02-01,28,0,0.0,0.0,190.7,,,,3,,191.0,0.0
35642410,2027-03-01,31,0,0.0,0.0,185.2,,,,3,,185.0,0.0
35642410,2027-04-01,30,0,0.0,0.0,188.3,,,,3,,188.0,0.0
35642410,2027-05-01,31,0,0.0,0.0,204.0,,,,3,,204.0,0.0
836803,2026-06-01,26,4,0.133,1426.0,360.2,356.5,51,9,3,357.0,360.0,1426.0
836803,2026-07-01,26,5,0.161,1961.0,388.7,392.2,,,4,392.0,389.0,1961.0
