listing_id,date,vacant_days,reserved_days,occupancy,revenue,rate_avg,booked_rate_avg,booking_lead_time_avg,length_of_stay_avg,min_nights_avg,native_booked_rate_avg,native_rate_avg,native_revenue
14123099,2026-06-01,0,30,1.0,3363.0,112.1,112.1,64,50,20,112.0,112.0,3363.0
14123099,2026-07-01,11,20,0.645,2181.0,115.5,109.0,,,20,109.0,116.0,2181.0
14123099,2026-08-01,31,0,0.0,0.0,121.3,,,,20,,121.0,0.0
14123099,2026-09-01,30,0,0.0,0.0,116.2,,,,20,,116.0,0.0
14123099,2026-10-01,31,0,0.0,0.0,115.5,,,,20,,116.0,0.0
14123099,2026-11-01,30,0,0.0,0.0,116.4,,,,20,,116.0,0.0
14123099,2026-12-01,31,0,0.0,0.0,116.5,,,,20,,117.0,0.0
14123099,2027-01-01,31,0,0.0,0.0,111.9,,,,20,,112.0,0.0
14123099,2027-02-01,28,0,0.0,0.0,108.9,,,,30,,109.0,0.0
14123099,2027-03-01,31,0,0.0,0.0,108.5,,,,30,,109.0,0.0
14123099,2027-04-01,30,0,0.0,0.0,111.0,,,,30,,111.0,0.0
14123099,2027-05-01,31,0,0.0,0.0,111.5,,,,,,112.0,0.0
26425761,2026-06-01,17,13,0.433,5485.0,357.9,421.9,62,2,2,422.0,358.0,5485.0
26425761,2026-07-01,25,6,0.194,2401.0,357.7,400.2,77,2,2,400.0,358.0,2401.0
26425761,2026-08-01,27,4,0.129,1085.0,292.6,271.2,68,4,2,271.0,293.0,1085.0
26425761,2026-09-01,23,7,0.233,2196.0,323.5,313.7,175,3,2,314.0,324.0,2196.0
26425761,2026-10-01,26,5,0.161,2534.0,433.0,506.8,201,2,2,507.0,433.0,2534.0
26425761,2026-11-01,30,0,0.0,0.0,502.3,,,,2,,502.0,0.0
26425761,2026-12-01,27,4,0.129,1621.0,409.5,405.2,214,4,2,405.0,410.0,1621.0
26425761,2027-01-01,31,0,0.0,0.0,337.6,,,,2,,338.0,0.0
26425761,2027-02-01,28,0,0.0,0.0,269.1,,,,2,,269.0,0.0
26425761,2027-03-01,25,6,0.194,1829.0,375.1,304.8,335,6,2,305.0,375.0,1829.0
26425761,2027-04-01,30,0,0.0,0.0,484.7,,,,2,,485.0,0.0
26425761,2027-05-01,31,0,0.0,0.0,407.9,,,,2,,408.0,0.0
30376303,2026-06-01,18,12,0.4,7996.0,635.2,666.3,40,4,3,666.0,635.0,7996.0
30376303,2026-07-01,29,2,0.065,1459.0,670.3,729.5,49,2,2,730.0,670.0,1459.0
30376303,2026-08-01,31,0,0.0,0.0,576.7,,,,2,,577.0,0.0
30376303,2026-09-01,30,0,0.0,0.0,650.5,,,,3,,651.0,0.0
