listing_id,date,vacant_days,reserved_days,occupancy,revenue,rate_avg,booked_rate_avg,booking_lead_time_avg,length_of_stay_avg,min_nights_avg,native_booked_rate_avg,native_rate_avg,native_revenue
5070970,2026-06-01,19,11,0.367,2900.0,276.1,263.6,112,5,1,264.0,276.0,2900.0
5070970,2026-07-01,26,5,0.161,1613.0,298.8,322.6,148,5,1,323.0,299.0,1613.0
5070970,2026-08-01,31,0,0.0,0.0,297.9,,,,1,,298.0,0.0
5070970,2026-09-01,30,0,0.0,0.0,267.4,,,,1,,267.0,0.0
5070970,2026-10-01,31,0,0.0,0.0,262.0,,,,1,,262.0,0.0
5070970,2026-11-01,30,0,0.0,0.0,259.2,,,,1,,259.0,0.0
5070970,2026-12-01,31,0,0.0,0.0,258.9,,,,1,,259.0,0.0
5070970,2027-01-01,31,0,0.0,0.0,256.5,,,,1,,257.0,0.0
5070970,2027-02-01,28,0,0.0,0.0,252.1,,,,1,,252.0,0.0
5070970,2027-03-01,31,0,0.0,0.0,259.5,,,,1,,260.0,0.0
5070970,2027-04-01,30,0,0.0,0.0,255.8,,,,1,,256.0,0.0
5070970,2027-05-01,31,0,0.0,0.0,262.4,,,,1,,262.0,0.0
17217549,2026-06-01,12,18,0.6,4528.0,307.3,251.6,51,3,2,252.0,307.0,4528.0
17217549,2026-07-01,31,0,0.0,0.0,497.4,,,,2,,497.0,0.0
17217549,2026-08-01,26,5,0.161,1261.0,224.7,252.2,90,2,2,252.0,225.0,1261.0
17217549,2026-09-01,23,7,0.233,1713.0,247.1,244.7,147,6,2,245.0,247.0,1713.0
17217549,2026-10-01,26,5,0.161,1382.0,280.5,276.4,,,2,276.0,281.0,1382.0
17217549,2026-11-01,30,0,0.0,0.0,295.1,,,,2,,295.0,0.0
17217549,2026-12-01,31,0,0.0,0.0,300.5,,,,9,,301.0,0.0
17217549,2027-01-01,31,0,0.0,0.0,338.9,,,,12,,339.0,0.0
17217549,2027-02-01,28,0,0.0,0.0,290.9,,,,13,,291.0,0.0
17217549,2027-03-01,31,0,0.0,0.0,323.2,,,,13,,323.0,0.0
17217549,2027-04-01,30,0,0.0,0.0,355.8,,,,13,,356.0,0.0
17217549,2027-05-01,31,0,0.0,0.0,347.3,,,,13,,347.0,0.0
14738255,2026-06-01,30,0,0.0,0.0,177.1,,,,2,,177.0,0.0
14738255,2026-07-01,31,0,0.0,0.0,177.4,,,,2,,177.0,0.0
14738255,2026-08-01,31,0,0.0,0.0,177.8,,,,,,178.0,0.0
14738255,2026-09-01,30,0,0.0,0.0,179.8,,,,,,180.0,0.0
14738255,2026-10-01,31,0,0.0,0.0,179.9,,,,,,180.0,0.0
14738255,2026-11-01,30,0,0.0,0.0,179.9,,,,,,180.0,0.0
14738255,2026-12-01,31,0,0.0,0.0,181.1,,,,,,181.0,0.0
14738255,2027-01-01,31,0,0.0,0.0,182.7,,,,,,183.0,0.0
14738255,2027-02-01,28,0,0.0,0.0,182.5,,,,,,183.0,0.0
14738255,2027-03-01,31,0,0.0,0.0,182.5,,,,,,183.0,0.0
14738255,2027-04-01,30,0,0.0,0.0,181.1,,,,,,181.0,0.0
14738255,2027-05-01,31,0,0.0,0.0,177.5,,,,,,178.0,0.0
20000020,2026-06-01,25,5,0.167,1815.0,416.8,363.0,28,3,2,363.0,417.0,1815.0
20000020,2026-07-01,31,0,0.0,0.0,483.6,,,,2,,484.0,0.0
20000020,2026-08-01,31,0,0.0,0.0,327.9,,,,4,,328.0,0.0
20000020,2026-09-01,30,0,0.0,0.0,370.2,,,,5,,370.0,0.0
20000020,2026-10-01,31,0,0.0,0.0,451.9,,,,5,,452.0,0.0
20000020,2026-11-01,30,0,0.0,0.0,537.5,,,,5,,538.0,0.0
20000020,2026-12-01,31,0,0.0,0.0,689.8,,,,5,,690.0,0.0
20000020,2027-01-01,31,0,0.0,0.0,407.9,,,,5,,408.0,0.0
20000020,2027-02-01,28,0,0.0,0.0,282.4,,,,5,,282.0,0.0
20000020,2027-03-01,31,0,0.0,0.0,310.4,,,,5,,310.0,0.0
20000020,2027-04-01,30,0,0.0,0.0,295.5,,,,5,,296.0,0.0
20000020,2027-05-01,31,0,0.0,0.0,276.3,,,,5,,276.0,0.0
