listing_id,date,vacant_days,reserved_days,occupancy,revenue,rate_avg,booked_rate_avg,booking_lead_time_avg,length_of_stay_avg,min_nights_avg,native_booked_rate_avg,native_rate_avg,native_revenue
21151625,2026-06-01,3,27,0.9,12693.0,477.0,470.1,65,5,2,470.0,477.0,12693.0
21151625,2026-07-01,9,22,0.71,10556.0,494.0,479.8,106,6,2,480.0,494.0,10556.0
21151625,2026-08-01,24,7,0.226,2422.0,399.2,346.0,151,7,2,346.0,399.0,2422.0
21151625,2026-09-01,30,0,0.0,0.0,288.9,,,,3,,289.0,0.0
21151625,2026-10-01,31,0,0.0,0.0,273.7,,,,3,,274.0,0.0
21151625,2026-11-01,30,0,0.0,0.0,215.6,,,,3,,216.0,0.0
21151625,2026-12-01,31,0,0.0,0.0,166.9,,,,3,,167.0,0.0
21151625,2027-01-01,31,0,0.0,0.0,164.1,,,,3,,164.0,0.0
21151625,2027-02-01,28,0,0.0,0.0,193.8,,,,3,,194.0,0.0
21151625,2027-03-01,31,0,0.0,0.0,246.9,,,,3,,247.0,0.0
21151625,2027-04-01,30,0,0.0,0.0,315.4,,,,4,,315.0,0.0
21151625,2027-05-01,31,0,0.0,0.0,408.7,,,,4,,409.0,0.0
3209465,2026-06-01,11,19,0.633,6117.0,329.7,321.9,200,5,5,322.0,330.0,6117.0
3209465,2026-07-01,15,16,0.516,5474.0,343.5,342.1,119,16,5,342.0,344.0,5474.0
3209465,2026-08-01,24,7,0.226,2088.0,273.3,298.3,266,7,5,298.0,273.0,2088.0
3209465,2026-09-01,30,0,0.0,0.0,241.4,,,,2,,241.0,0.0
3209465,2026-10-01,25,6,0.194,1232.0,206.4,205.3,183,6,2,205.0,206.0,1232.0
3209465,2026-11-01,30,0,0.0,0.0,226.2,,,,2,,226.0,0.0
3209465,2026-12-01,31,0,0.0,0.0,235.9,,,,2,,236.0,0.0
3209465,2027-01-01,24,7,0.226,1636.0,232.4,233.7,336,7,2,234.0,232.0,1636.0
3209465,2027-02-01,28,0,0.0,0.0,219.8,,,,2,,220.0,0.0
3209465,2027-03-01,31,0,0.0,0.0,211.2,,,,2,,211.0,0.0
3209465,2027-04-01,30,0,0.0,0.0,230.5,,,,2,,231.0,0.0
3209465,2027-05-01,31,0,0.0,0.0,238.7,,,,2,,239.0,0.0
14946556,2026-06-01,1,29,0.967,4829.0,166.4,166.5,168,29,7,167.0,166.0,4829.0
14946556,2026-07-01,2,29,0.935,5163.0,178.4,178.0,210,14,7,178.0,178.0,5163.0
