listing_id,date,vacant_days,reserved_days,occupancy,revenue,rate_avg,booked_rate_avg,booking_lead_time_avg,length_of_stay_avg,min_nights_avg,native_booked_rate_avg,native_rate_avg,native_revenue
11212318,2026-06-01,30,0,0.0,0.0,484.2,,,,1,,484.0,0.0
11212318,2026-07-01,31,0,0.0,0.0,480.2,,,,1,,480.0,0.0
11212318,2026-08-01,22,9,0.29,4137.0,462.6,459.7,247,4,1,460.0,463.0,4137.0
11212318,2026-09-01,30,0,0.0,0.0,439.4,,,,1,,439.0,0.0
11212318,2026-10-01,31,0,0.0,0.0,430.0,,,,1,,430.0,0.0
11212318,2026-11-01,30,0,0.0,0.0,466.7,,,,1,,467.0,0.0
11212318,2026-12-01,31,0,0.0,0.0,444.2,,,,1,,444.0,0.0
11212318,2027-01-01,31,0,0.0,0.0,445.8,,,,,,446.0,0.0
11212318,2027-02-01,28,0,0.0,0.0,440.7,,,,,,441.0,0.0
11212318,2027-03-01,31,0,0.0,0.0,436.7,,,,,,437.0,0.0
11212318,2027-04-01,30,0,0.0,0.0,443.9,,,,,,444.0,0.0
11212318,2027-05-01,31,0,0.0,0.0,448.6,,,,,,449.0,0.0
18285399,2026-06-01,12,18,0.6,2370.0,128.6,131.7,37,4,2,132.0,129.0,2370.0
18285399,2026-07-01,28,3,0.097,433.0,149.0,144.3,86,3,2,144.0,149.0,433.0
18285399,2026-08-01,24,7,0.226,797.0,114.8,113.9,159,7,2,114.0,115.0,797.0
18285399,2026-09-01,17,13,0.433,1705.0,122.5,131.2,200,4,2,131.0,123.0,1705.0
18285399,2026-10-01,31,0,0.0,0.0,142.3,,,,2,,142.0,0.0
18285399,2026-11-01,30,0,0.0,0.0,115.1,,,,2,,115.0,0.0
18285399,2026-12-01,31,0,0.0,0.0,120.0,,,,2,,120.0,0.0
18285399,2027-01-01,31,0,0.0,0.0,116.0,,,,2,,116.0,0.0
18285399,2027-02-01,28,0,0.0,0.0,112.1,,,,2,,112.0,0.0
18285399,2027-03-01,31,0,0.0,0.0,119.1,,,,2,,119.0,0.0
18285399,2027-04-01,30,0,0.0,0.0,117.4,,,,2,,117.0,0.0
18285399,2027-05-01,31,0,0.0,0.0,137.6,,,,2,,138.0,0.0
19271192,2026-06-01,30,0,0.0,0.0,260.3,,,,2,,260.0,0.0
19271192,2026-07-01,31,0,0.0,0.0,258.4,,,,,,258.0,0.0
19271192,2026-08-01,31,0,0.0,0.0,259.5,,,,,,260.0,0.0
19271192,2026-09-01,30,0,0.0,0.0,260.0,,,,,,260.0,0.0
