listing_id,date,vacant_days,reserved_days,occupancy,revenue,rate_avg,booked_rate_avg,booking_lead_time_avg,length_of_stay_avg,min_nights_avg,native_booked_rate_avg,native_rate_avg,native_revenue
5891552,2025-06-01,14,16,0.533,41104.0,2571.6,2569.0,301,2,3,2569.0,2572.0,41104.0
5891552,2025-07-01,15,16,0.516,41297.0,2587.3,2581.1,258,3,3,2581.0,2587.0,41297.0
5891552,2025-08-01,21,10,0.323,26008.0,2601.6,2600.8,350,7,3,2601.0,2602.0,26008.0
5891552,2025-09-01,24,6,0.2,16523.0,2775.4,2753.8,224,3,3,2754.0,2775.0,16523.0
5891552,2025-10-01,20,11,0.355,30838.0,2775.5,2803.5,276,2,3,2804.0,2776.0,30838.0
5891552,2025-11-01,16,14,0.467,35806.0,2536.4,2557.6,207,3,3,2558.0,2536.0,35806.0
5891552,2025-12-01,23,8,0.258,23306.0,2607.0,2913.2,3,4,2,2913.0,2607.0,23306.0
5891552,2026-01-01,28,3,0.097,7370.0,2687.5,2456.7,115,2,2,2457.0,2688.0,7370.0
5891552,2026-02-01,22,6,0.214,16828.0,2843.7,2804.7,155,3,3,2805.0,2844.0,16828.0
5891552,2026-03-01,23,8,0.258,23998.0,3019.7,2999.8,68,2,3,3000.0,3020.0,23998.0
5891552,2026-04-01,26,4,0.133,12170.0,3051.9,3042.5,315,3,3,3043.0,3052.0,12170.0
5891552,2026-05-01,26,5,0.161,14944.0,3092.0,2988.8,70,2,3,2989.0,3092.0,14944.0
19271230,2025-06-01,17,13,0.433,4126.0,312.0,317.4,117,5,2,317.0,312.0,4126.0
19271230,2025-07-01,15,16,0.516,5168.0,321.5,323.0,164,6,2,323.0,322.0,5168.0
19271230,2025-08-01,18,13,0.419,3718.0,281.4,286.0,105,3,2,286.0,281.0,3718.0
19271230,2025-09-01,25,5,0.167,1417.0,276.8,283.4,105,5,2,283.0,277.0,1417.0
19271230,2025-10-01,29,2,0.065,553.0,267.9,276.5,151,4,2,277.0,268.0,553.0
19271230,2025-11-01,15,15,0.5,4647.0,315.9,309.8,109,5,2,310.0,316.0,4647.0
19271230,2025-12-01,10,21,0.677,8272.0,383.3,393.9,15,5,3,394.0,383.0,8272.0
19271230,2026-01-01,17,14,0.452,5101.0,384.7,364.4,21,5,1,364.0,385.0,5101.0
19271230,2026-02-01,28,0,0.0,0.0,398.1,,,,2,,398.0,0.0
19271230,2026-03-01,31,0,0.0,0.0,393.8,,,,2,,394.0,0.0
19271230,2026-04-01,25,5,0.167,1328.0,278.6,265.6,98,2,2,266.0,279.0,1328.0
19271230,2026-05-01,30,1,0.032,383.0,298.8,383.0,3,12,2,383.0,299.0,383.0
23179594,2025-06-01,8,22,0.733,8900.0,408.7,404.5,35,3,2,405.0,409.0,8900.0
23179594,2025-07-01,13,18,0.581,6831.0,384.7,379.5,29,3,2,380.0,385.0,6831.0
23179594,2025-08-01,3,28,0.903,9663.0,344.2,345.1,30,2,2,345.0,344.0,9663.0
23179594,2025-09-01,3,27,0.9,9408.0,349.9,348.4,23,3,2,348.0,350.0,9408.0
