listing_id,date,vacant_days,reserved_days,occupancy,revenue,rate_avg,booked_rate_avg,booking_lead_time_avg,length_of_stay_avg,min_nights_avg,native_booked_rate_avg,native_rate_avg,native_revenue
20858987,2025-06-01,4,26,0.867,4621.0,176.2,177.7,37,5,3,178.0,176.0,4621.0
20858987,2025-07-01,9,22,0.71,3877.0,174.4,176.2,42,3,3,176.0,174.0,3877.0
20858987,2025-08-01,10,21,0.677,3691.0,174.9,175.8,18,3,3,176.0,175.0,3691.0
20858987,2025-09-01,15,15,0.5,2563.0,172.0,170.9,6,5,3,171.0,172.0,2563.0
20858987,2025-10-01,14,17,0.548,3480.0,197.0,204.7,25,2,3,205.0,197.0,3480.0
20858987,2025-11-01,22,8,0.267,1360.0,168.6,170.0,34,3,3,170.0,169.0,1360.0
20858987,2025-12-01,30,1,0.032,193.0,171.7,193.0,28,1,3,193.0,172.0,193.0
20858987,2026-01-01,31,0,0.0,0.0,178.6,,,,3,,179.0,0.0
20858987,2026-02-01,22,6,0.214,1165.0,185.0,194.2,4,6,3,194.0,185.0,1165.0
20858987,2026-03-01,23,8,0.258,1451.0,190.6,181.4,29,8,3,181.0,191.0,1451.0
20858987,2026-04-01,24,6,0.2,1208.0,203.2,201.3,14,3,3,201.0,203.0,1208.0
20858987,2026-05-01,12,19,0.613,3975.0,207.5,209.2,28,3,3,209.0,208.0,3975.0
846221,2025-06-01,27,3,0.1,627.0,207.3,209.0,1,3,2,209.0,207.0,627.0
846221,2025-07-01,31,0,0.0,0.0,203.4,,,,2,,203.0,0.0
846221,2025-08-01,31,0,0.0,0.0,199.3,,,,2,,199.0,0.0
846221,2025-09-01,30,0,0.0,0.0,206.4,,,,2,,206.0,0.0
846221,2025-10-01,31,0,0.0,0.0,205.1,,,,2,,205.0,0.0
846221,2025-11-01,30,0,0.0,0.0,204.1,,,,2,,204.0,0.0
846221,2025-12-01,31,0,0.0,0.0,208.9,,,,2,,209.0,0.0
846221,2026-01-01,31,0,0.0,0.0,219.2,,,,2,,219.0,0.0
846221,2026-02-01,21,7,0.25,1540.0,219.0,220.0,6,1,2,220.0,219.0,1540.0
846221,2026-03-01,31,0,0.0,0.0,215.4,,,,2,,215.0,0.0
846221,2026-04-01,30,0,0.0,0.0,214.5,,,,2,,215.0,0.0
846221,2026-05-01,31,0,0.0,0.0,213.6,,,,2,,214.0,0.0
1574329,2025-06-01,26,4,0.133,803.0,200.1,200.8,1,4,2,201.0,200.0,803.0
1574329,2025-07-01,23,8,0.258,1580.0,195.5,197.5,29,2,2,198.0,196.0,1580.0
1574329,2025-08-01,16,15,0.484,2917.0,193.7,194.5,63,5,2,195.0,194.0,2917.0
1574329,2025-09-01,30,0,0.0,0.0,192.4,,,,2,,192.0,0.0
1574329,2025-10-01,29,2,0.065,379.0,190.9,189.5,115,2,2,190.0,191.0,379.0
1574329,2025-11-01,30,0,0.0,0.0,198.0,,,,2,,198.0,0.0
1574329,2025-12-01,31,0,0.0,0.0,201.2,,,,2,,201.0,0.0
14082400,2025-06-01,21,9,0.3,2127.0,195.0,236.3,41,4,1,236.0,195.0,2127.0
14082400,2025-07-01,25,6,0.194,973.0,163.9,162.2,80,6,1,162.0,164.0,973.0
14082400,2025-08-01,5,26,0.839,4560.0,173.8,175.4,110,14,2,175.0,174.0,4560.0
14082400,2025-09-01,28,2,0.067,340.0,169.2,170.0,,,2,170.0,169.0,340.0
14082400,2025-10-01,31,0,0.0,0.0,164.1,,,,2,,164.0,0.0
14082400,2025-11-01,30,0,0.0,0.0,164.5,,,,2,,165.0,0.0
14082400,2025-12-01,31,0,0.0,0.0,165.4,,,,2,,165.0,0.0
14082400,2026-01-01,31,0,0.0,0.0,179.6,,,,2,,180.0,0.0
14082400,2026-02-01,28,0,0.0,0.0,176.5,,,,2,,177.0,0.0
14082400,2026-03-01,31,0,0.0,0.0,175.9,,,,2,,176.0,0.0
14082400,2026-04-01,30,0,0.0,0.0,175.6,,,,2,,176.0,0.0
14082400,2026-05-01,31,0,0.0,0.0,174.5,,,,2,,175.0,0.0
18946316,2025-06-01,30,0,0.0,0.0,105.5,,,,2,,106.0,0.0
18946316,2025-07-01,31,0,0.0,0.0,105.5,,,,2,,106.0,0.0
18946316,2025-08-01,31,0,0.0,0.0,106.1,,,,2,,106.0,0.0
18946316,2025-09-01,30,0,0.0,0.0,107.8,,,,2,,108.0,0.0
18946316,2025-10-01,19,12,0.387,1268.0,106.7,105.7,30,1,2,106.0,107.0,1268.0
18946316,2025-11-01,22,8,0.267,817.0,102.0,102.1,1,2,2,102.0,102.0,817.0
18946316,2025-12-01,29,2,0.065,202.0,105.5,101.0,6,2,2,101.0,106.0,202.0
18946316,2026-01-01,29,2,0.065,205.0,106.2,102.5,10,2,2,103.0,106.0,205.0
18946316,2026-02-01,25,3,0.107,338.0,110.1,112.7,8,3,2,113.0,110.0,338.0
18946316,2026-03-01,31,0,0.0,0.0,116.9,,,,2,,117.0,0.0
18946316,2026-04-01,30,0,0.0,0.0,123.1,,,,2,,123.0,0.0
18946316,2026-05-01,29,2,0.065,253.0,125.0,126.5,3,2,2,127.0,125.0,253.0
20583406,2025-06-01,19,11,0.367,1070.0,104.5,97.3,13,2,2,97.0,105.0,1070.0
20583406,2025-07-01,18,13,0.419,1253.0,99.5,96.4,25,2,2,96.0,100.0,1253.0
20583406,2025-08-01,24,7,0.226,699.0,100.0,99.9,1,3,2,100.0,100.0,699.0
20583406,2025-09-01,30,0,0.0,0.0,104.9,,,,2,,105.0,0.0
20583406,2025-10-01,31,0,0.0,0.0,123.1,,,,2,,123.0,0.0
20583406,2025-11-01,30,0,0.0,0.0,111.9,,,,2,,112.0,0.0
20583406,2025-12-01,31,0,0.0,0.0,107.1,,,,2,,107.0,0.0
20583406,2026-01-01,31,0,0.0,0.0,129.5,,,,2,,130.0,0.0
20583406,2026-02-01,28,0,0.0,0.0,131.6,,,,2,,132.0,0.0
20583406,2026-03-01,31,0,0.0,0.0,134.4,,,,2,,134.0,0.0
20583406,2026-04-01,30,0,0.0,0.0,140.5,,,,2,,141.0,0.0
20583406,2026-05-01,31,0,0.0,0.0,139.1,,,,2,,139.0,0.0
7438838,2025-06-01,30,0,0.0,0.0,191.4,,,,3,,191.0,0.0
7438838,2025-07-01,31,0,0.0,0.0,192.3,,,,3,,192.0,0.0
7438838,2025-08-01,16,15,0.484,2872.0,191.6,191.5,72,7,3,192.0,192.0,2872.0
7438838,2025-09-01,21,9,0.3,1656.0,187.6,184.0,58,9,3,184.0,188.0,1656.0
7438838,2025-10-01,13,18,0.581,3475.0,193.2,193.1,72,9,4,193.0,193.0,3475.0
7438838,2025-11-01,19,11,0.367,2216.0,205.5,201.5,45,11,4,202.0,206.0,2216.0
7438838,2025-12-01,31,0,0.0,0.0,191.9,,,,4,,192.0,0.0
7438838,2026-01-01,31,0,0.0,0.0,169.6,,,,4,,170.0,0.0
7438838,2026-02-01,28,0,0.0,0.0,164.5,,,,4,,165.0,0.0
7438838,2026-03-01,31,0,0.0,0.0,162.5,,,,4,,163.0,0.0
7438838,2026-04-01,30,0,0.0,0.0,166.1,,,,3,,166.0,0.0
7438838,2026-05-01,31,0,0.0,0.0,166.0,,,,3,,166.0,0.0
16856815,2025-06-01,20,10,0.333,1085.0,108.3,108.5,30,14,2,109.0,108.0,1085.0
16856815,2025-07-01,21,10,0.323,1120.0,110.4,112.0,6,3,2,112.0,110.0,1120.0
16856815,2025-08-01,15,16,0.516,1809.0,116.2,113.1,21,4,2,113.0,116.0,1809.0
16856815,2025-09-01,17,13,0.433,1781.0,136.6,137.0,59,4,2,137.0,137.0,1781.0
16856815,2025-10-01,15,16,0.516,2296.0,137.5,143.5,34,2,2,144.0,138.0,2296.0
16856815,2025-11-01,19,11,0.367,1373.0,125.3,124.8,8,3,2,125.0,125.0,1373.0
16856815,2025-12-01,17,14,0.452,1780.0,129.4,127.1,12,4,2,127.0,129.0,1780.0
16856815,2026-01-01,22,9,0.29,1234.0,143.9,137.1,16,15,2,137.0,144.0,1234.0
16856815,2026-02-01,13,15,0.536,2278.0,154.1,151.9,11,2,2,152.0,154.0,2278.0
16856815,2026-03-01,28,3,0.097,496.0,159.3,165.3,4,3,2,165.0,159.0,496.0
16856815,2026-04-01,14,16,0.533,2584.0,161.9,161.5,18,8,2,162.0,162.0,2584.0
16856815,2026-05-01,9,22,0.71,3606.0,158.9,163.9,21,5,2,164.0,159.0,3606.0
12266103,2025-06-01,27,3,0.1,896.0,297.9,298.7,2,3,3,299.0,298.0,896.0
12266103,2025-07-01,22,9,0.29,2617.0,284.7,290.8,31,3,3,291.0,285.0,2617.0
12266103,2025-08-01,31,0,0.0,0.0,299.8,,,,3,,300.0,0.0
12266103,2025-09-01,27,3,0.1,894.0,298.9,298.0,100,3,3,298.0,299.0,894.0
12266103,2025-10-01,28,3,0.097,898.0,298.7,299.3,114,3,3,299.0,299.0,898.0
12266103,2025-11-01,30,0,0.0,0.0,297.2,,,,3,,297.0,0.0
12266103,2025-12-01,31,0,0.0,0.0,293.1,,,,3,,293.0,0.0
12266103,2026-01-01,31,0,0.0,0.0,364.7,,,,3,,365.0,0.0
12266103,2026-02-01,28,0,0.0,0.0,370.8,,,,3,,371.0,0.0
12266103,2026-03-01,31,0,0.0,0.0,372.5,,,,3,,373.0,0.0
12266103,2026-04-01,30,0,0.0,0.0,375.4,,,,3,,375.0,0.0
12266103,2026-05-01,31,0,0.0,0.0,381.6,,,,3,,382.0,0.0
3986614,2025-06-01,0,30,1.0,2951.0,98.4,98.4,49,3,1,98.0,98.0,2951.0
3986614,2025-07-01,9,22,0.71,1759.0,76.6,80.0,75,3,1,80.0,77.0,1759.0
3986614,2025-08-01,3,28,0.903,1923.0,68.4,68.7,27,2,1,69.0,68.0,1923.0
3986614,2025-09-01,7,23,0.767,2213.0,97.5,96.2,35,2,1,96.0,98.0,2213.0
3986614,2025-10-01,1,30,0.968,2769.0,92.2,92.3,58,2,1,92.0,92.0,2769.0
3986614,2025-11-01,5,25,0.833,2191.0,86.6,87.6,44,2,1,88.0,87.0,2191.0
3986614,2025-12-01,1,30,0.968,2475.0,82.6,82.5,46,3,1,83.0,83.0,2475.0
3986614,2026-01-01,13,18,0.581,1409.0,73.9,78.3,21,2,1,78.0,74.0,1409.0
3986614,2026-02-01,8,20,0.714,1841.0,86.5,92.0,57,3,1,92.0,87.0,1841.0
3986614,2026-03-01,6,25,0.806,2125.0,83.4,85.0,19,2,1,85.0,83.0,2125.0
3986614,2026-04-01,7,23,0.767,2383.0,98.4,103.6,121,3,1,104.0,98.0,2383.0
3986614,2026-05-01,10,21,0.677,2124.0,103.1,101.1,91,3,1,101.0,103.0,2124.0
20773653,2025-06-01,27,3,0.1,575.0,200.5,191.7,,,2,192.0,201.0,575.0
20773653,2025-07-01,14,17,0.548,3646.0,212.1,214.5,60,5,2,215.0,212.0,3646.0
20773653,2025-08-01,20,11,0.355,2086.0,197.5,189.6,86,6,2,190.0,198.0,2086.0
20773653,2025-09-01,30,0,0.0,0.0,195.3,,,,2,,195.0,0.0
20773653,2025-10-01,31,0,0.0,0.0,202.9,,,,2,,203.0,0.0
20773653,2025-11-01,30,0,0.0,0.0,210.0,,,,2,,210.0,0.0
20773653,2025-12-01,31,0,0.0,0.0,191.4,,,,2,,191.0,0.0
20773653,2026-01-01,31,0,0.0,0.0,243.1,,,,2,,243.0,0.0
20773653,2026-02-01,28,0,0.0,0.0,268.2,,,,2,,268.0,0.0
20773653,2026-03-01,31,0,0.0,0.0,249.2,,,,2,,249.0,0.0
20773653,2026-04-01,30,0,0.0,0.0,249.4,,,,2,,249.0,0.0
20773653,2026-05-01,31,0,0.0,0.0,250.9,,,,2,,251.0,0.0
17648416,2025-06-01,20,10,0.333,1766.0,199.9,176.6,34,6,2,177.0,200.0,1766.0
17648416,2025-07-01,24,7,0.226,1177.0,178.3,168.1,1,5,2,168.0,178.0,1177.0
17648416,2025-08-01,13,18,0.581,3460.0,191.4,192.2,45,3,2,192.0,191.0,3460.0
17648416,2025-09-01,22,8,0.267,1572.0,185.8,196.5,45,4,2,197.0,186.0,1572.0
17648416,2025-10-01,15,16,0.516,5159.0,303.5,322.4,12,5,2,322.0,304.0,5159.0
17648416,2025-11-01,17,13,0.433,3517.0,308.9,270.5,35,4,2,271.0,309.0,3517.0
17648416,2025-12-01,19,12,0.387,2428.0,206.8,202.3,33,6,2,202.0,207.0,2428.0
17648416,2026-01-01,16,15,0.484,3046.0,207.3,203.1,1,3,2,203.0,207.0,3046.0
17648416,2026-02-01,28,0,0.0,0.0,177.9,,,,2,,178.0,0.0
17648416,2026-03-01,31,0,0.0,0.0,203.8,,,,2,,204.0,0.0
17648416,2026-04-01,30,0,0.0,0.0,179.7,,,,2,,180.0,0.0
17648416,2026-05-01,31,0,0.0,0.0,185.7,,,,2,,186.0,0.0
6180513,2025-06-01,29,1,0.033,307.0,282.1,307.0,30,1,1,307.0,282.0,307.0
6180513,2025-07-01,25,6,0.194,1510.0,249.3,251.7,7,2,1,252.0,249.0,1510.0
6180513,2025-08-01,18,13,0.419,2536.0,203.0,195.1,28,2,1,195.0,203.0,2536.0
6180513,2025-09-01,18,12,0.4,1929.0,163.1,160.8,24,3,1,161.0,163.0,1929.0
6180513,2025-10-01,19,12,0.387,2524.0,220.3,210.3,54,2,1,210.0,220.0,2524.0
6180513,2025-11-01,10,20,0.667,4433.0,234.2,221.7,54,6,1,222.0,234.0,4433.0
6180513,2025-12-01,17,14,0.452,3437.0,238.0,245.5,42,2,1,246.0,238.0,3437.0
6180513,2026-01-01,27,4,0.129,985.0,167.9,246.2,13,1,1,246.0,168.0,985.0
6180513,2026-02-01,21,7,0.25,1429.0,178.8,204.1,74,3,1,204.0,179.0,1429.0
6180513,2026-03-01,19,12,0.387,2149.0,169.6,179.1,29,2,1,179.0,170.0,2149.0
6180513,2026-04-01,16,14,0.467,2602.0,183.7,185.9,19,2,1,186.0,184.0,2602.0
6180513,2026-05-01,23,8,0.258,1574.0,189.1,196.8,41,2,1,197.0,189.0,1574.0
21437451,2025-06-01,30,0,0.0,0.0,149.8,,,,2,,150.0,0.0
21437451,2025-07-01,31,0,0.0,0.0,148.5,,,,2,,149.0,0.0
21437451,2025-08-01,31,0,0.0,0.0,147.9,,,,2,,148.0,0.0
21437451,2025-09-01,0,30,1.0,4572.0,152.4,152.4,113,30,2,152.0,152.0,4572.0
21437451,2025-10-01,12,19,0.613,3222.0,167.6,169.6,55,2,2,170.0,168.0,3222.0
21437451,2025-11-01,14,16,0.533,2422.0,151.7,151.4,28,8,2,151.0,152.0,2422.0
21437451,2025-12-01,24,7,0.226,1189.0,162.6,169.9,35,3,2,170.0,163.0,1189.0
21437451,2026-01-01,26,5,0.161,869.0,164.5,173.8,23,2,2,174.0,165.0,869.0
21437451,2026-02-01,24,4,0.143,609.0,151.1,152.2,19,2,2,152.0,151.0,609.0
21437451,2026-03-01,31,0,0.0,0.0,163.5,,,,2,,164.0,0.0
21437451,2026-04-01,20,10,0.333,1713.0,165.7,171.3,10,3,2,171.0,166.0,1713.0
21437451,2026-05-01,21,10,0.323,1717.0,159.5,171.7,50,3,2,172.0,160.0,1717.0
13514183,2025-06-01,29,1,0.033,259.0,234.1,259.0,1,1,1,259.0,234.0,259.0
13514183,2025-07-01,19,12,0.387,2429.0,194.3,202.4,33,3,1,202.0,194.0,2429.0
13514183,2025-08-01,22,9,0.29,2205.0,233.2,245.0,27,2,1,245.0,233.0,2205.0
