listing_id,date,vacant_days,reserved_days,occupancy,revenue,rate_avg,booked_rate_avg,booking_lead_time_avg,length_of_stay_avg,min_nights_avg,native_booked_rate_avg,native_rate_avg,native_revenue
35087602,2025-06-01,22,8,0.267,2838.0,353.4,354.8,111,4,4,355.0,353.0,2838.0
35087602,2025-07-01,4,27,0.871,9099.0,339.2,337.0,80,4,3,337.0,339.0,9099.0
35087602,2025-08-01,6,25,0.806,7651.0,301.2,306.0,56,5,2,306.0,301.0,7651.0
35087602,2025-09-01,30,0,0.0,0.0,299.6,,,,3,,300.0,0.0
35087602,2025-10-01,31,0,0.0,0.0,291.2,,,,3,,291.0,0.0
35087602,2025-11-01,30,0,0.0,0.0,294.7,,,,3,,295.0,0.0
35087602,2025-12-01,31,0,0.0,0.0,291.7,,,,3,,292.0,0.0
35087602,2026-01-01,31,0,0.0,0.0,333.5,,,,3,,334.0,0.0
35087602,2026-02-01,28,0,0.0,0.0,353.8,,,,3,,354.0,0.0
35087602,2026-03-01,31,0,0.0,0.0,355.1,,,,3,,355.0,0.0
35087602,2026-04-01,30,0,0.0,0.0,371.1,,,,3,,371.0,0.0
35087602,2026-05-01,29,2,0.065,675.0,346.0,337.5,71,2,3,338.0,346.0,675.0
32308330,2025-06-01,28,2,0.067,511.0,254.4,255.5,1,2,3,256.0,254.0,511.0
32308330,2025-07-01,31,0,0.0,0.0,256.0,,,,4,,256.0,0.0
32308330,2025-08-01,27,4,0.129,1177.0,301.1,294.2,60,4,3,294.0,301.0,1177.0
32308330,2025-09-01,27,3,0.1,833.0,284.5,277.7,99,3,3,278.0,285.0,833.0
32308330,2025-10-01,31,0,0.0,0.0,245.8,,,,3,,246.0,0.0
32308330,2025-11-01,30,0,0.0,0.0,231.0,,,,3,,231.0,0.0
32308330,2025-12-01,31,0,0.0,0.0,240.4,,,,2,,240.0,0.0
32308330,2026-01-01,31,0,0.0,0.0,359.4,,,,2,,359.0,0.0
32308330,2026-02-01,28,0,0.0,0.0,321.3,,,,2,,321.0,0.0
32308330,2026-03-01,31,0,0.0,0.0,338.6,,,,3,,339.0,0.0
32308330,2026-04-01,30,0,0.0,0.0,351.3,,,,3,,351.0,0.0
32308330,2026-05-01,28,3,0.097,1228.0,386.5,409.3,158,3,3,409.0,387.0,1228.0
42971045,2025-06-01,7,23,0.767,10287.0,449.0,447.3,76,7,3,447.0,449.0,10287.0
42971045,2025-07-01,9,22,0.71,9873.0,447.5,448.8,35,3,3,449.0,448.0,9873.0
42971045,2025-08-01,6,25,0.806,9655.0,375.6,386.2,47,3,3,386.0,376.0,9655.0
42971045,2025-09-01,13,17,0.567,5649.0,333.0,332.3,46,2,2,332.0,333.0,5649.0
42971045,2025-10-01,19,12,0.387,3677.0,330.0,306.4,24,4,2,306.0,330.0,3677.0
42971045,2025-11-01,30,0,0.0,0.0,378.7,,,,2,,379.0,0.0
42971045,2025-12-01,31,0,0.0,0.0,365.2,,,,2,,365.0,0.0
42971045,2026-01-01,31,0,0.0,0.0,481.7,,,,2,,482.0,0.0
42971045,2026-02-01,28,0,0.0,0.0,464.8,,,,2,,465.0,0.0
42971045,2026-03-01,31,0,0.0,0.0,451.3,,,,2,,451.0,0.0
42971045,2026-04-01,11,19,0.633,7717.0,386.3,406.2,51,5,2,406.0,386.0,7717.0
42971045,2026-05-01,16,15,0.484,6746.0,427.1,449.7,17,4,3,450.0,427.0,6746.0
25810444,2025-06-01,4,26,0.867,4809.0,185.2,185.0,28,3,4,185.0,185.0,4809.0
25810444,2025-07-01,7,24,0.774,4509.0,185.9,187.9,25,5,3,188.0,186.0,4509.0
25810444,2025-08-01,11,20,0.645,3184.0,153.2,159.2,34,3,4,159.0,153.0,3184.0
25810444,2025-09-01,23,7,0.233,899.0,160.2,128.4,150,8,3,128.0,160.0,899.0
25810444,2025-10-01,3,28,0.903,3256.0,114.9,116.3,106,4,4,116.0,115.0,3256.0
25810444,2025-11-01,29,1,0.033,121.0,118.9,121.0,181,1,4,121.0,119.0,121.0
25810444,2025-12-01,31,0,0.0,0.0,98.1,,,,3,,98.0,0.0
25810444,2026-01-01,31,0,0.0,0.0,166.8,,,,4,,167.0,0.0
25810444,2026-02-01,28,0,0.0,0.0,182.1,,,,4,,182.0,0.0
25810444,2026-03-01,31,0,0.0,0.0,232.2,,,,3,,232.0,0.0
25810444,2026-04-01,30,0,0.0,0.0,278.3,,,,1,,278.0,0.0
25810444,2026-05-01,25,6,0.194,1338.0,236.3,223.0,18,3,3,223.0,236.0,1338.0
13920626,2025-06-01,0,30,1.0,7965.0,265.5,265.5,99,11,2,266.0,266.0,7965.0
13920626,2025-07-01,0,31,1.0,9197.0,296.7,296.7,33,7,7,297.0,297.0,9197.0
13920626,2025-08-01,7,24,0.774,6062.0,248.6,252.6,46,5,6,253.0,249.0,6062.0
13920626,2025-09-01,16,14,0.467,2489.0,187.8,177.8,86,2,3,178.0,188.0,2489.0
13920626,2025-10-01,30,1,0.032,240.0,198.4,240.0,1,1,3,240.0,198.0,240.0
13920626,2025-11-01,30,0,0.0,0.0,180.6,,,,3,,181.0,0.0
13920626,2025-12-01,31,0,0.0,0.0,175.5,,,,2,,176.0,0.0
13920626,2026-01-01,31,0,0.0,0.0,174.4,,,,2,,174.0,0.0
13920626,2026-02-01,25,3,0.107,600.0,178.6,200.0,1,3,2,200.0,179.0,600.0
13920626,2026-03-01,31,0,0.0,0.0,182.4,,,,3,,182.0,0.0
13920626,2026-04-01,30,0,0.0,0.0,215.1,,,,3,,215.0,0.0
13920626,2026-05-01,24,7,0.226,2043.0,282.9,291.9,28,6,3,292.0,283.0,2043.0
14667588,2025-06-01,20,10,0.333,1428.0,140.7,142.8,47,1,1,143.0,141.0,1428.0
14667588,2025-07-01,12,19,0.613,2432.0,127.9,128.0,50,2,1,128.0,128.0,2432.0
14667588,2025-08-01,21,10,0.323,1235.0,121.4,123.5,30,1,1,124.0,121.0,1235.0
14667588,2025-09-01,19,11,0.367,1571.0,136.0,142.8,19,2,1,143.0,136.0,1571.0
14667588,2025-10-01,28,3,0.097,342.0,110.6,114.0,3,1,1,114.0,111.0,342.0
14667588,2025-11-01,30,0,0.0,0.0,107.2,,,,1,,107.0,0.0
14667588,2025-12-01,31,0,0.0,0.0,105.3,,,,1,,105.0,0.0
14667588,2026-01-01,31,0,0.0,0.0,107.3,,,,1,,107.0,0.0
14667588,2026-02-01,28,0,0.0,0.0,105.6,,,,1,,106.0,0.0
14667588,2026-03-01,31,0,0.0,0.0,107.9,,,,1,,108.0,0.0
14667588,2026-04-01,29,1,0.033,119.0,105.5,119.0,5,1,1,119.0,106.0,119.0
14667588,2026-05-01,18,13,0.419,1487.0,112.3,114.4,25,2,1,114.0,112.0,1487.0
28029362,2025-06-01,22,8,0.267,2498.0,312.8,312.2,1,8,3,312.0,313.0,2498.0
28029362,2025-07-01,25,6,0.194,1892.0,322.9,315.3,22,6,3,315.0,323.0,1892.0
28029362,2025-08-01,31,0,0.0,0.0,340.0,,,,3,,340.0,0.0
28029362,2025-09-01,30,0,0.0,0.0,336.9,,,,2,,337.0,0.0
28029362,2025-10-01,31,0,0.0,0.0,318.6,,,,2,,319.0,0.0
28029362,2025-11-01,30,0,0.0,0.0,289.8,,,,2,,290.0,0.0
28029362,2025-12-01,31,0,0.0,0.0,239.0,,,,2,,239.0,0.0
28029362,2026-01-01,31,0,0.0,0.0,306.2,,,,2,,306.0,0.0
28029362,2026-02-01,28,0,0.0,0.0,298.9,,,,2,,299.0,0.0
28029362,2026-03-01,31,0,0.0,0.0,399.8,,,,2,,400.0,0.0
28029362,2026-04-01,30,0,0.0,0.0,410.2,,,,2,,410.0,0.0
28029362,2026-05-01,31,0,0.0,0.0,464.4,,,,2,,464.0,0.0
33089005,2025-06-01,8,22,0.733,8476.0,386.5,385.3,39,4,3,385.0,387.0,8476.0
33089005,2025-07-01,16,15,0.484,5844.0,388.8,389.6,26,3,3,390.0,389.0,5844.0
33089005,2025-08-01,27,4,0.129,1479.0,344.8,369.8,9,4,3,370.0,345.0,1479.0
33089005,2025-09-01,30,0,0.0,0.0,283.0,,,,2,,283.0,0.0
33089005,2025-10-01,31,0,0.0,0.0,262.7,,,,2,,263.0,0.0
33089005,2025-11-01,30,0,0.0,0.0,263.4,,,,2,,263.0,0.0
33089005,2025-12-01,31,0,0.0,0.0,294.3,,,,2,,294.0,0.0
33089005,2026-01-01,31,0,0.0,0.0,300.5,,,,2,,301.0,0.0
33089005,2026-02-01,28,0,0.0,0.0,309.9,,,,2,,310.0,0.0
