listing_id,date,vacant_days,reserved_days,occupancy,revenue,rate_avg,booked_rate_avg,booking_lead_time_avg,length_of_stay_avg,min_nights_avg,native_booked_rate_avg,native_rate_avg,native_revenue
50198253,2025-06-01,16,14,0.467,2842.0,212.7,203.0,35,3,1,203.0,213.0,2842.0
50198253,2025-07-01,22,9,0.29,2066.0,200.6,229.6,52,3,1,230.0,201.0,2066.0
50198253,2025-08-01,16,15,0.484,2800.0,188.7,186.7,28,5,1,187.0,189.0,2800.0
50198253,2025-09-01,8,22,0.733,4254.0,187.8,193.4,20,11,1,193.0,188.0,4254.0
50198253,2025-10-01,11,20,0.645,3229.0,163.7,161.4,49,2,1,161.0,164.0,3229.0
50198253,2025-11-01,19,11,0.367,1912.0,167.9,173.8,25,3,1,174.0,168.0,1912.0
50198253,2025-12-01,21,10,0.323,1683.0,169.7,168.3,1,11,1,168.0,170.0,1683.0
50198253,2026-01-01,12,19,0.613,3359.0,181.0,176.8,28,1,1,177.0,181.0,3359.0
50198253,2026-02-01,5,23,0.821,4165.0,178.0,181.1,5,18,1,181.0,178.0,4165.0
50198253,2026-03-01,14,17,0.548,3066.0,182.6,180.4,10,3,1,180.0,183.0,3066.0
50198253,2026-04-01,30,0,0.0,0.0,191.6,,,,1,,192.0,0.0
50198253,2026-05-01,29,2,0.065,405.0,197.1,202.5,132,2,1,203.0,197.0,405.0
27746713,2025-06-01,21,9,0.3,869.0,95.9,96.6,12,4,4,97.0,96.0,869.0
27746713,2025-07-01,25,6,0.194,531.0,89.8,88.5,14,6,4,89.0,90.0,531.0
27746713,2025-08-01,26,5,0.161,479.0,90.5,95.8,3,5,4,96.0,91.0,479.0
27746713,2025-09-01,25,5,0.167,477.0,92.6,95.4,11,7,4,95.0,93.0,477.0
27746713,2025-10-01,10,21,0.677,1946.0,93.1,92.7,17,13,4,93.0,93.0,1946.0
27746713,2025-11-01,0,30,1.0,2799.0,93.3,93.3,,,4,93.0,93.0,2799.0
27746713,2025-12-01,27,4,0.129,396.0,94.0,99.0,,,4,99.0,94.0,396.0
27746713,2026-01-01,29,2,0.065,207.0,98.5,103.5,1,2,4,104.0,99.0,207.0
27746713,2026-02-01,28,0,0.0,0.0,96.6,,,,4,,97.0,0.0
27746713,2026-03-01,31,0,0.0,0.0,95.7,,,,4,,96.0,0.0
27746713,2026-04-01,30,0,0.0,0.0,95.9,,,,4,,96.0,0.0
27746713,2026-05-01,29,2,0.065,198.0,93.8,99.0,85,2,4,99.0,94.0,198.0
15768886,2025-06-01,30,0,0.0,0.0,243.2,,,,2,,243.0,0.0
15768886,2025-07-01,27,4,0.129,1004.0,250.8,251.0,3,4,2,251.0,251.0,1004.0
15768886,2025-08-01,29,2,0.065,492.0,250.6,246.0,3,2,2,246.0,251.0,492.0
15768886,2025-09-01,22,8,0.267,1977.0,246.0,247.1,17,4,2,247.0,246.0,1977.0
15768886,2025-10-01,18,13,0.419,3132.0,239.8,240.9,32,2,2,241.0,240.0,3132.0
15768886,2025-11-01,10,20,0.667,4929.0,245.1,246.4,16,21,2,246.0,245.0,4929.0
15768886,2025-12-01,9,22,0.71,5372.0,243.9,244.2,,,2,244.0,244.0,5372.0
15768886,2026-01-01,31,0,0.0,0.0,290.7,,,,2,,291.0,0.0
15768886,2026-02-01,28,0,0.0,0.0,291.0,,,,2,,291.0,0.0
