listing_id,date,vacant_days,reserved_days,occupancy,revenue,rate_avg,booked_rate_avg,booking_lead_time_avg,length_of_stay_avg,min_nights_avg,native_booked_rate_avg,native_rate_avg,native_revenue
19316556,2025-06-01,7,23,0.767,4806.0,205.8,209.0,7,2,2,209.0,206.0,4806.0
19316556,2025-07-01,3,28,0.903,5660.0,201.1,202.1,10,3,2,202.0,201.0,5660.0
19316556,2025-08-01,7,24,0.774,3878.0,159.3,161.6,8,2,2,162.0,159.0,3878.0
19316556,2025-09-01,11,19,0.633,2550.0,138.2,134.2,24,3,2,134.0,138.0,2550.0
19316556,2025-10-01,7,24,0.774,4708.0,193.9,196.2,29,3,2,196.0,194.0,4708.0
19316556,2025-11-01,13,17,0.567,3284.0,188.9,193.2,75,3,2,193.0,189.0,3284.0
19316556,2025-12-01,7,24,0.774,5200.0,198.9,216.7,20,3,2,217.0,199.0,5200.0
19316556,2026-01-01,27,4,0.129,580.0,142.1,145.0,47,4,2,145.0,142.0,580.0
19316556,2026-02-01,19,9,0.321,1123.0,127.6,124.8,29,3,2,125.0,128.0,1123.0
19316556,2026-03-01,13,18,0.581,2987.0,156.8,165.9,13,2,2,166.0,157.0,2987.0
19316556,2026-04-01,15,15,0.5,2446.0,149.1,163.1,11,2,2,163.0,149.0,2446.0
19316556,2026-05-01,27,4,0.129,735.0,154.2,183.8,2,2,2,184.0,154.0,735.0
23613573,2025-06-01,5,25,0.833,3784.0,152.5,151.4,10,2,2,151.0,153.0,3784.0
23613573,2025-07-01,9,22,0.71,4047.0,177.3,184.0,5,3,2,184.0,177.0,4047.0
23613573,2025-08-01,8,23,0.742,2375.0,106.3,103.3,56,3,2,103.0,106.0,2375.0
23613573,2025-09-01,5,25,0.833,2632.0,110.1,105.3,53,3,2,105.0,110.0,2632.0
23613573,2025-10-01,8,23,0.742,4545.0,188.0,197.6,14,2,2,198.0,188.0,4545.0
23613573,2025-11-01,8,22,0.733,2927.0,130.9,133.0,37,3,2,133.0,131.0,2927.0
23613573,2025-12-01,6,25,0.806,4135.0,160.2,165.4,26,3,2,165.0,160.0,4135.0
23613573,2026-01-01,22,9,0.29,1303.0,136.1,144.8,28,2,2,145.0,136.0,1303.0
