listing_id,date,vacant_days,reserved_days,occupancy,revenue,rate_avg,booked_rate_avg,booking_lead_time_avg,length_of_stay_avg,min_nights_avg,native_booked_rate_avg,native_rate_avg,native_revenue
19783540,2025-06-01,29,1,0.033,340.0,338.7,340.0,3,1,7,340.0,339.0,340.0
19783540,2025-07-01,31,0,0.0,0.0,351.6,,,,7,,352.0,0.0
19783540,2025-08-01,31,0,0.0,0.0,351.9,,,,7,,352.0,0.0
19783540,2025-09-01,30,0,0.0,0.0,348.3,,,,7,,348.0,0.0
19783540,2025-10-01,31,0,0.0,0.0,344.7,,,,7,,345.0,0.0
19783540,2025-11-01,30,0,0.0,0.0,337.9,,,,7,,338.0,0.0
19783540,2025-12-01,22,9,0.29,3027.0,341.3,336.3,6,5,7,336.0,341.0,3027.0
19783540,2026-01-01,30,1,0.032,345.0,429.8,345.0,,,7,345.0,430.0,345.0
19783540,2026-02-01,28,0,0.0,0.0,449.1,,,,7,,449.0,0.0
19783540,2026-03-01,31,0,0.0,0.0,435.9,,,,7,,436.0,0.0
19783540,2026-04-01,30,0,0.0,0.0,436.8,,,,7,,437.0,0.0
19783540,2026-05-01,31,0,0.0,0.0,433.7,,,,7,,434.0,0.0
19064995,2025-06-01,17,13,0.433,4666.0,361.1,358.9,26,2,2,359.0,361.0,4666.0
19064995,2025-07-01,15,16,0.516,4696.0,276.9,293.5,22,3,2,294.0,277.0,4696.0
19064995,2025-08-01,16,15,0.484,3885.0,250.8,259.0,26,2,2,259.0,251.0,3885.0
19064995,2025-09-01,24,6,0.2,882.0,173.8,147.0,12,2,2,147.0,174.0,882.0
19064995,2025-10-01,26,5,0.161,1103.0,218.0,220.6,34,1,2,221.0,218.0,1103.0
19064995,2025-11-01,21,9,0.3,2345.0,237.1,260.6,27,2,2,261.0,237.0,2345.0
19064995,2025-12-01,20,11,0.355,3663.0,300.8,333.0,12,2,2,333.0,301.0,3663.0
19064995,2026-01-01,22,9,0.29,2014.0,204.6,223.8,30,2,2,224.0,205.0,2014.0
19064995,2026-02-01,28,0,0.0,0.0,176.4,,,,2,,176.0,0.0
19064995,2026-03-01,25,6,0.194,1637.0,229.7,272.8,48,5,2,273.0,230.0,1637.0
19064995,2026-04-01,24,6,0.2,1696.0,235.1,282.7,83,1,2,283.0,235.0,1696.0
19064995,2026-05-01,23,8,0.258,2139.0,282.2,267.4,62,2,2,267.0,282.0,2139.0
6794308,2025-06-01,27,3,0.1,466.0,155.0,155.3,6,1,2,155.0,155.0,466.0
6794308,2025-07-01,30,1,0.032,159.0,161.5,159.0,9,1,2,159.0,162.0,159.0
6794308,2025-08-01,25,6,0.194,975.0,158.1,162.5,14,2,2,163.0,158.0,975.0
6794308,2025-09-01,30,0,0.0,0.0,175.0,,,,2,,175.0,0.0
6794308,2025-10-01,31,0,0.0,0.0,152.9,,,,2,,153.0,0.0
6794308,2025-11-01,30,0,0.0,0.0,144.8,,,,2,,145.0,0.0
6794308,2025-12-01,31,0,0.0,0.0,140.6,,,,2,,141.0,0.0
6794308,2026-01-01,31,0,0.0,0.0,103.2,,,,2,,103.0,0.0
6794308,2026-02-01,28,0,0.0,0.0,103.9,,,,2,,104.0,0.0
6794308,2026-03-01,31,0,0.0,0.0,107.1,,,,2,,107.0,0.0
6794308,2026-04-01,30,0,0.0,0.0,106.0,,,,2,,106.0,0.0
6794308,2026-05-01,31,0,0.0,0.0,104.5,,,,2,,105.0,0.0
8503768,2025-06-01,23,7,0.233,1067.0,153.9,152.4,7,2,2,152.0,154.0,1067.0
8503768,2025-07-01,24,7,0.226,965.0,131.4,137.9,16,7,2,138.0,131.0,965.0
8503768,2025-08-01,31,0,0.0,0.0,130.6,,,,2,,131.0,0.0
8503768,2025-09-01,30,0,0.0,0.0,132.3,,,,2,,132.0,0.0
8503768,2025-10-01,31,0,0.0,0.0,128.2,,,,2,,128.0,0.0
8503768,2025-11-01,30,0,0.0,0.0,129.7,,,,2,,130.0,0.0
8503768,2025-12-01,29,2,0.065,230.0,115.3,115.0,11,2,2,115.0,115.0,230.0
8503768,2026-01-01,31,0,0.0,0.0,180.4,,,,2,,180.0,0.0
8503768,2026-02-01,28,0,0.0,0.0,184.7,,,,2,,185.0,0.0
8503768,2026-03-01,29,2,0.065,1142.0,418.9,571.0,16,10,2,571.0,419.0,1142.0
