listing_id,date,num_reviews,reviewers
16477857,2025-12-01,1,113120943
12105828,2025-07-01,1,244417230
18716194,2026-03-01,2,"389354280,30388286"
18716194,2026-01-01,1,183147936
18716194,2025-09-01,1,76050715
18716194,2025-07-01,1,419100841
18716194,2026-04-01,1,733101537
18716194,2026-02-01,1,56529185
18716194,2025-12-01,1,546867440
18716194,2025-10-01,3,"218084823,563319243,50126911"
18716194,2025-08-01,1,31184366
14082400,2025-08-01,1,684980591
20504787,2026-03-01,3,"682576470,355556673,743112846"
20504787,2025-11-01,7,"151785375,338092113,111032000,379468900,711852810,339928806,282687048"
20504787,2025-07-01,1,30725769
20504787,2026-02-01,3,"694335426,182019964,496596779"
20504787,2025-10-01,6,"99391582,389011166,356924008,6766182,169966591,174645787"
20504787,2025-06-01,3,"236849287,421400481,168775896"
20504787,2026-01-01,2,"454211699,705883137"
20504787,2025-09-01,5,"519669660,141710706,52783879,714076598,66477773"
20504787,2026-04-01,3,"431758864,2491580,233633444"
20504787,2025-12-01,1,146055290
20504787,2025-08-01,2,"175641685,557220379"
11609580,2025-11-01,3,"403112959,130825963,205767103"
11609580,2026-03-01,1,500914129
11609580,2025-10-01,5,"667667872,61548662,18925083,262627109,13134994"
11609580,2025-06-01,3,"53469592,32455263,197554283"
11609580,2026-02-01,3,"25527544,171636205,96435308"
11609580,2025-09-01,4,"40023567,192698209,12905050,64613132"
11609580,2026-04-01,1,68076116
18308309,2025-11-01,2,"650678846,444000655"
18308309,2025-07-01,1,58041574
1879067,2025-12-01,1,654781132
1879067,2025-11-01,2,"462760084,28652431"
1879067,2025-10-01,1,29753865
2072026,2025-11-01,2,"195800428,90984709"
2072026,2025-07-01,3,"495940007,488683279,187133221"
2072026,2026-03-01,4,"45771313,384655785,96383,1783671"
2072026,2025-06-01,3,"216281946,67530704,118113800"
2072026,2025-10-01,2,"65338631,2144164"
2072026,2026-02-01,1,46169792
2072026,2026-05-01,1,391456988
2072026,2025-09-01,1,25663058
2072026,2026-01-01,1,173872563
2072026,2025-12-01,2,"210105628,223916538"
2072026,2025-08-01,1,352926290
2072026,2026-04-01,3,"348133955,31877402,154850626"
15507809,2026-05-01,2,"15578750,51230681"
15507809,2026-03-01,2,"47729118,110080259"
15507809,2026-01-01,1,19666186
15507809,2025-11-01,4,"60520,536187885,203818752,122716719"
15507809,2025-07-01,5,"35367594,71032475,39187616,405644862,51937560"
15507809,2026-04-01,3,"5517337,5259116,750414585"
15507809,2026-02-01,2,"62284759,333396473"
15507809,2025-12-01,7,"27941080,551665549,361363002,62178586,84762973,75984903,2189493"
15507809,2025-08-01,3,"33555882,69625201,245893260"
15507809,2025-06-01,7,"101768638,493538253,41701264,142085172,74425683,30656892,2379066"
12543684,2026-03-01,4,"345023061,501370036,82259929,64109495"
12543684,2025-07-01,2,"186151448,65078236"
12543684,2025-11-01,6,"51198699,402917147,31092377,97863760,676794562,579131381"
12543684,2026-02-01,5,"719351532,413736322,27593552,81563897,491343638"
12543684,2025-10-01,2,"372944009,417194867"
12543684,2025-09-01,2,"170409902,506778798"
12543684,2026-01-01,3,"501614257,280973397,398045721"
12543684,2026-04-01,3,"480211881,243035693,315969861"
12543684,2025-08-01,2,"367265354,28467647"
12543684,2025-12-01,5,"104715789,292749239,708229347,411301294,50472245"
6180513,2025-07-01,3,"102533999,66039506,492175645"
6180513,2025-11-01,2,"71493945,147432398"
6180513,2025-09-01,2,"263038533,34252031"
6180513,2026-01-01,2,"30630363,168925795"
6180513,2025-08-01,3,"24007435,49551869,57182803"
6180513,2025-06-01,1,29404542
6180513,2025-12-01,2,"359488221,183977755"
6180513,2025-10-01,2,"412456051,177204221"
6180513,2026-04-01,4,"239366798,376170115,365006913,147708436"
21437451,2026-05-01,2,"133826287,177513210"
21437451,2026-03-01,1,421932142
21437451,2025-11-01,4,"46188927,558551,53445529,299287611"
21437451,2026-01-01,1,66467795
