listing_id,date,num_reviews,reviewers
17793078,2026-02-01,1,370438130
17793078,2026-01-01,1,1808183
17793078,2025-11-01,3,"397154767,138872219,133004193"
17793078,2025-10-01,1,251164685
17793078,2025-09-01,2,"475351905,110514309"
17793078,2025-08-01,3,"678172694,229164215,189714810"
17793078,2025-07-01,1,260024172
7142723,2025-07-01,2,"132225937,704860800"
7142723,2025-11-01,1,700761394
7142723,2025-06-01,1,144036406
7142723,2025-10-01,3,"538876702,70060163,337085577"
7142723,2026-02-01,1,296144746
7142723,2025-09-01,2,"222483676,713872364"
7142723,2025-08-01,3,"95328172,169153028,650251675"
20350514,2026-03-01,5,"476225638,369565685,440737174,23259743,445106608"
20350514,2025-09-01,2,"50301014,446166572"
20350514,2026-01-01,1,62396282
20350514,2026-04-01,1,313391777
20350514,2025-08-01,1,578320008
20350514,2025-10-01,8,"541241051,364833909,588066259,84733321,93830037,73421290,544101739,45910068"
20350514,2025-12-01,2,"476922,651869360"
31036661,2026-03-01,5,"57446604,375474112,595540081,81569472,144697903"
31036661,2026-01-01,4,"257155520,240073730,156312418,517005663"
31036661,2025-11-01,2,"461833712,410067229"
31036661,2025-09-01,3,"76762839,65236715,423224328"
31036661,2025-07-01,2,"686150684,393365"
31036661,2026-04-01,3,"191458789,81638902,404792526"
31036661,2026-02-01,4,"571500475,691672724,590242690,451627617"
31036661,2025-12-01,4,"39040552,375474112,82202895,730197131"
31036661,2025-10-01,2,"67949274,220942291"
31036661,2025-08-01,8,"233035071,56086976,181348924,98714273,172932877,427814566,75896043,99558174"
31036661,2025-06-01,7,"100586113,200277635,660493943,249299970,63473905,83582363,399681400"
3241085,2025-07-01,1,239627794
3241085,2025-06-01,3,"63484526,36199355,7559797"
3241085,2026-04-01,1,137117912
32443244,2025-07-01,3,"471121695,524715628,374415619"
32443244,2026-03-01,1,28107078
32443244,2025-09-01,2,"397591421,442077822"
32443244,2025-11-01,4,"185267004,287543867,62837540,170046721"
32443244,2026-01-01,1,375012956
32443244,2025-08-01,2,"59068428,710735269"
32443244,2025-06-01,3,"691716330,169053700,253321460"
32443244,2026-04-01,2,"530452770,81940102"
32443244,2025-10-01,5,"59177997,141218828,374327133,132695275,504669697"
34314602,2026-04-01,1,60134531
34314602,2025-09-01,1,80423126
34314602,2025-07-01,1,60134531
34361174,2025-11-01,1,254614095
34361174,2025-09-01,1,430960889
34361174,2025-07-01,2,"74712742,74712742"
34361174,2025-08-01,1,315659623
34361174,2025-06-01,2,"429567263,134461568"
34361174,2025-10-01,1,75929508
34361174,2026-04-01,2,"443095731,136615444"
8698538,2026-03-01,1,17126236
8698538,2025-11-01,1,26125125
8698538,2025-07-01,2,"538943709,497635412"
8698538,2025-06-01,3,"70219915,487821609,11390137"
8698538,2026-01-01,1,199799855
8698538,2025-12-01,1,94250315
8698538,2025-08-01,1,226427244
30983880,2026-03-01,2,"522031942,72596423"
30983880,2026-01-01,1,699549321
30983880,2026-04-01,1,71210933
30983880,2026-02-01,1,50199135
30983880,2025-12-01,3,"85503359,664603198,126780455"
14865673,2025-07-01,1,677856241
14865673,2025-12-01,1,730542106
14865673,2025-08-01,1,252839110
14865673,2025-06-01,1,11051555
30193243,2026-05-01,3,"217295732,757098014,1680202773593421678"
30193243,2025-11-01,2,"263345327,217980309"
30193243,2025-07-01,3,"700714090,560059252,250356201"
30193243,2026-04-01,1,532525874
30193243,2026-02-01,4,"725561260,725561260,725561260,725561260"
30193243,2025-12-01,2,"68013013,51510481"
30193243,2025-10-01,1,178278875
2012313,2025-07-01,1,478738315
2012313,2025-10-01,1,674844841
2012313,2025-06-01,2,"111226647,115488521"
2012313,2026-05-01,1,490538407
33802756,2026-05-01,1,87630980
33802756,2026-04-01,3,"53603103,162009633,176985976"
33802756,2026-03-01,2,"512357261,356986231"
33802756,2026-02-01,3,"50924582,392015269,52599091"
33802756,2026-01-01,3,"17115566,484925061,553106961"
33802756,2025-12-01,3,"381116248,302482358,100073738"
33802756,2025-10-01,2,"207149684,198423530"
33802756,2025-09-01,2,"25908404,133287742"
33802756,2025-08-01,3,"467181096,7151878,509388188"
24513501,2025-09-01,1,552671219
29607799,2026-03-01,1,479755223
29607799,2026-01-01,1,102126143
29607799,2025-11-01,1,218162370
29607799,2026-04-01,1,479322014
29607799,2026-02-01,1,702501240
29607799,2025-12-01,1,61102863
29607799,2025-10-01,1,653490562
29607799,2025-08-01,3,"26806986,397763047,90785205"
25796123,2026-03-01,1,7749042
25796123,2026-01-01,1,580278252
25796123,2025-09-01,3,"35513846,138790429,370819854"
25796123,2026-04-01,1,119179876
25796123,2026-02-01,2,"96296583,80495553"
25796123,2025-12-01,1,368059096
25796123,2025-10-01,4,"137876777,137895017,65613837,470765451"
25796123,2025-08-01,1,148807668
21784359,2025-06-01,1,311820533
18050287,2025-07-01,2,"115942,59759110"
18050287,2025-08-01,3,"51608408,192034910,215076862"
18050287,2025-06-01,7,"551427271,446639157,650795567,699491879,35793350,20533880,109140194"
34409241,2026-05-01,4,"481325051,446007053,651825773,99942507"
34409241,2026-03-01,5,"483305068,742675249,55677775,434256282,135698096"
34409241,2026-01-01,1,354876256
34409241,2025-11-01,1,467164898
34409241,2025-09-01,3,"25034737,68734581,387714757"
34409241,2025-07-01,3,"463607435,174143050,118438616"
34409241,2026-04-01,3,"711702894,415678177,69358643"
34409241,2026-02-01,2,"155645199,193133430"
34409241,2025-12-01,2,"206983404,63770823"
34409241,2025-10-01,6,"422927908,118722951,161630447,151412664,720724243,421324321"
34409241,2025-08-01,1,78850645
34409241,2025-06-01,5,"77107781,170373651,334545674,383090536,378644980"
32282135,2026-05-01,4,"300546414,148440816,370809420,376280445"
32282135,2026-03-01,4,"452367806,152210616,103237945,93682030"
32282135,2026-01-01,6,"52771165,241920446,738395848,130762601,519110340,346035644"
32282135,2025-11-01,5,"264403870,25538262,67755630,340260537,253636717"
32282135,2025-09-01,4,"227546917,204060737,226396217,488738242"
32282135,2026-04-01,5,"181541198,362760834,76214579,21937464,696565633"
32282135,2026-02-01,2,"345125994,217667148"
32282135,2025-12-01,2,"419651641,122236843"
32282135,2025-10-01,3,"593336434,708520737,593661280"
32282135,2025-08-01,3,"504021730,153616885,171095755"
32282135,2025-06-01,1,80101847
33718219,2026-03-01,4,"253439355,166864511,386736237,95761041"
33718219,2025-07-01,2,"106342801,243028275"
33718219,2025-09-01,2,"566025748,227879426"
33718219,2025-11-01,1,62850687
33718219,2026-04-01,1,2478651
33718219,2025-06-01,6,"411576171,90508723,71117289,44046204,19631472,381109818"
33718219,2025-08-01,4,"484903643,10193141,416701568,42704855"
33718219,2025-10-01,3,"370589640,19196472,62985219"
33718219,2025-12-01,3,"8924142,710549361,22064655"
33718219,2026-02-01,3,"714438996,108290490,190880386"
32405959,2025-08-01,1,710127487
32405959,2026-05-01,1,675942356
33481788,2025-10-01,2,"321655391,314162683"
33481788,2025-09-01,1,711192998
33481788,2025-08-01,1,335178148
33481788,2025-07-01,1,108054375
20725405,2025-07-01,1,219543347
22665620,2026-03-01,6,"5816519,17847395,381888493,238821563,338077085,501663581"
22665620,2026-01-01,3,"703155163,135980949,335911732"
22665620,2025-11-01,3,"357329238,26806986,269595106"
22665620,2025-09-01,4,"691606521,446329001,407794040,133411557"
22665620,2025-07-01,5,"701254932,137876777,200154735,180582792,145533415"
22665620,2026-04-01,4,"370915004,175333352,732329502,462270359"
22665620,2026-02-01,3,"131696831,591406749,734120145"
22665620,2025-10-01,6,"434684168,224568349,194583299,351021962,52818315,717848479"
22665620,2025-08-01,2,"351575432,665911689"
22665620,2025-06-01,8,"300354413,313369904,357530091,77001989,300572975,190351352,434937956,523338319"
15523712,2026-03-01,2,"475811900,267612287"
15523712,2025-07-01,2,"23024908,244443951"
15523712,2025-11-01,1,61582102
15523712,2025-06-01,4,"492227904,120705584,125973231,106806799"
15523712,2025-10-01,1,125973231
15523712,2025-09-01,2,"404350747,170376178"
15523712,2026-01-01,1,48079973
15523712,2026-04-01,1,110797995
15523712,2025-12-01,1,125973231
22477236,2026-03-01,1,736566998
22477236,2026-01-01,1,440050764
22477236,2025-12-01,3,"501125697,698423242,497008945"
22477236,2025-08-01,1,661687155
33088119,2025-06-01,2,"121049657,388268184"
3516190,2026-03-01,5,"127289862,159152085,595697463,7707329,105522776"
3516190,2025-11-01,3,"51514716,370295665,35915092"
3516190,2025-07-01,2,"246800302,150473708"
3516190,2026-02-01,2,"142702381,190769520"
3516190,2025-10-01,3,"15189681,397274275,81191437"
3516190,2025-06-01,2,"414323615,17978276"
3516190,2025-09-01,3,"246800302,110813032,54358699"
3516190,2026-04-01,5,"246800302,191634309,15082472,460477314,296077560"
3516190,2025-08-01,1,8907
18535891,2026-05-01,1,390916673
18535891,2026-03-01,7,"424047336,420548123,276677570,131375901,714783751,535323182,420548123"
18535891,2026-01-01,5,"39666005,394000061,394000061,327136902,327136902"
18535891,2025-11-01,3,"60903618,10404385,482169574"
18535891,2025-09-01,4,"480530822,349644849,106507393,349644849"
18535891,2025-07-01,3,"74712742,250356201,514039685"
18535891,2026-04-01,6,"169715858,373302434,169715858,397007732,130501617,348161189"
18535891,2026-02-01,2,"343511936,668867069"
18535891,2025-12-01,1,418030423
18535891,2025-10-01,5,"168470661,40893703,157026125,185370073,482169574"
18535891,2025-08-01,5,"349644849,349644849,349644849,514039685,5006737"
18535891,2025-06-01,4,"514039685,213175898,536334680,492851845"
28055794,2026-04-01,1,746522670
28055794,2025-08-01,1,553526385
19455055,2025-12-01,1,493752081
19455055,2025-11-01,2,"75315798,147962595"
19455055,2025-10-01,2,"228561032,175366742"
19455055,2025-06-01,1,519648996
24831464,2026-05-01,1,1670554510290155026
24831464,2026-03-01,3,"574522052,90504704,58715236"
24831464,2025-11-01,1,359516919
24831464,2025-10-01,4,"220921268,655190668,694919097,254415083"
24831464,2025-08-01,1,70675913
24831464,2025-07-01,1,397015809
24831464,2025-06-01,3,"76471014,552021052,456128203"
26249989,2025-09-01,6,"401462184,511434323,122863456,263921498,51514158,36577459"
26249989,2025-07-01,5,"57186624,263124229,503694865,49277115,142720793"
26249989,2025-11-01,3,"109889969,75803536,543376414"
26249989,2026-01-01,1,501055585
26249989,2025-12-01,6,"190182978,33329617,161490157,733200094,463093331,418230114"
26249989,2025-10-01,4,"397199107,392008002,474895645,539759072"
26249989,2025-08-01,5,"74470673,543329554,370809420,53825498,519803428"
26249989,2025-06-01,4,"421928027,81191860,447598690,216521076"
34169626,2025-09-01,1,58659876
34169626,2025-08-01,2,"702927376,170128055"
34169626,2025-07-01,3,"2494844,659131954,111200650"
27338626,2026-05-01,1,397420720
27338626,2026-03-01,1,40407937
27338626,2026-01-01,1,20258919
27338626,2025-11-01,1,685356736
11378508,2026-03-01,2,"185655919,416516394"
11378508,2026-05-01,1,427986171
11378508,2026-04-01,3,"87110938,74319645,744129698"
11378508,2025-12-01,1,13835936
11378508,2025-10-01,3,"248761917,468979726,406280603"
11378508,2025-08-01,1,447393691
30962218,2026-03-01,3,"55971859,303719987,574863940"
30962218,2026-01-01,3,"310891661,62651448,30348526"
30962218,2025-11-01,5,"148705729,174627206,52785988,66435837,26490701"
30962218,2025-09-01,5,"369905872,61250747,33942385,390487553,710449007"
30962218,2025-07-01,8,"226431912,651023711,19058201,466363315,7548531,101655810,1980475,442160997"
30962218,2026-04-01,2,"749922825,340206552"
30962218,2026-02-01,3,"324719008,20544414,369672226"
30962218,2025-12-01,4,"88778578,21848676,21925617,436972858"
30962218,2025-10-01,4,"150717720,36752630,552554818,14649834"
30962218,2025-08-01,5,"257125765,426937217,581318710,555719682,30733397"
30962218,2025-06-01,5,"452225389,187359226,242817853,161640793,270102303"
33074838,2025-11-01,2,"688377408,368474690"
33074838,2025-09-01,2,"105611584,171901084"
33074838,2025-12-01,4,"274302214,270268649,573568243,27269122"
33074838,2025-10-01,6,"331613809,598549629,181592229,188679326,365430997,387967519"
33074838,2025-08-01,1,701303670
20946510,2026-05-01,1,681770361
20946510,2026-03-01,2,"64694253,228363250"
20946510,2026-01-01,2,"104179994,217780155"
20946510,2025-11-01,3,"328081283,3750493,78608911"
20946510,2025-09-01,4,"40432195,64949917,81301477,551448306"
20946510,2025-07-01,3,"695657403,81849218,17942639"
20946510,2026-04-01,2,"345707966,505436320"
20946510,2026-02-01,4,"72505152,40432195,180546105,138414443"
20946510,2025-12-01,1,217500784
20946510,2025-10-01,3,"25617857,230556785,150561358"
20946510,2025-08-01,4,"381782221,4149390,140470649,223040812"
20946510,2025-06-01,2,"446403014,696674828"
21695311,2025-12-01,1,307249866
21695311,2025-11-01,1,17656563
21695311,2025-10-01,2,"52194304,118415023"
21695311,2025-06-01,1,42617534
13970956,2025-07-01,2,"464439189,671246435"
13970956,2025-11-01,2,"3288343,23634279"
13970956,2026-03-01,3,"190898574,265599330,53857894"
