listing_id,date,num_reviews,reviewers
44509074,2025-08-01,2,"66658423,699765610"
44509074,2025-07-01,3,"301878900,440449802,490848195"
44509074,2025-06-01,4,"444810427,459959723,343980643,171128313"
27746713,2025-07-01,1,52243347
27746713,2025-12-01,1,15786976
27746713,2025-10-01,3,"260875908,150884287,569992138"
27746713,2025-08-01,1,677009191
27746713,2025-06-01,1,60009881
51704325,2025-11-01,4,"58794481,252361887,214803136,383996241"
51704325,2025-09-01,3,"95901012,197974273,32754267"
51704325,2025-07-01,3,"213101372,205683284,496907324"
51704325,2026-03-01,3,"495518046,743874988,101344640"
51704325,2025-12-01,1,90637450
51704325,2025-10-01,1,94120935
51704325,2025-08-01,2,"15725435,396396364"
51704325,2025-06-01,3,"19801350,509029267,115572888"
51704325,2026-04-01,3,"730761182,741772414,62325019"
49043738,2025-11-01,2,"728173349,532042847"
49043738,2025-10-01,2,"168184774,168184774"
49043738,2025-09-01,1,142093459
49043738,2025-08-01,1,212697419
49043738,2025-07-01,1,365262498
49043738,2025-06-01,2,"45440188,427270175"
28391370,2026-05-01,1,249320069
28391370,2026-03-01,5,"278465211,41098968,304140989,133091043,77006459"
28391370,2026-01-01,2,"441102051,205353729"
28391370,2025-11-01,7,"147639774,400302965,347654842,347654842,205353729,205353729,719820284"
28391370,2025-09-01,5,"144322872,54563945,205353729,68756639,5075038"
28391370,2025-07-01,2,"205353729,339772094"
28391370,2026-04-01,3,"105707459,36348718,45588281"
28391370,2026-02-01,8,"347654842,213846329,457268947,5350361,247640862,161421529,205353729,205353729"
28391370,2025-12-01,3,"31627069,719820284,107405751"
28391370,2025-10-01,4,"59941720,185914602,114898971,82675190"
28391370,2025-08-01,2,"303989727,386437984"
28391370,2025-06-01,4,"49826712,321004003,700052430,205353729"
45895955,2026-05-01,2,"411778008,227479621"
45895955,2026-04-01,5,"534973447,13160879,395489279,756024999,674979430"
45895955,2026-03-01,5,"123206831,31936948,729491933,8299142,498553402"
45895955,2026-01-01,1,672783073
45895955,2025-11-01,4,"560681735,197261079,88395285,260476181"
45895955,2025-09-01,1,256113757
45895955,2025-08-01,2,"478789012,399870653"
45895955,2025-06-01,3,"289088971,100077791,5913561"
31848293,2026-03-01,5,"15482825,76718042,140467887,25074235,8301472"
31848293,2026-01-01,2,"83064605,15482825"
31848293,2025-11-01,1,14697395
31848293,2025-09-01,2,"165421235,11586040"
31848293,2025-07-01,3,"139878766,25017081,5642882"
31848293,2026-04-01,3,"389759445,5466727,32701384"
31848293,2026-02-01,4,"15482825,40726727,15482825,738510920"
31848293,2025-12-01,2,"55618558,30210396"
31848293,2025-10-01,2,"10000812,396679030"
31848293,2025-08-01,5,"375067947,342130,210792867,41936855,155574608"
31848293,2025-06-01,3,"268687643,384886629,210399759"
42609363,2026-05-01,1,116962622
42609363,2026-03-01,2,"565449777,110367790"
42609363,2026-01-01,2,"501531720,232587171"
42609363,2025-11-01,3,"16783421,56320214,123076108"
42609363,2025-09-01,3,"55246091,33003279,47572051"
42609363,2025-07-01,1,180160904
42609363,2026-04-01,2,"123076108,225479631"
42609363,2026-02-01,4,"321022956,89598289,232587171,20258919"
42609363,2025-12-01,2,"68270588,34224676"
42609363,2025-10-01,3,"168800996,378498665,123076108"
42609363,2025-08-01,4,"81462749,299160351,118857279,433009058"
2283792,2026-05-01,1,399576189
2283792,2026-04-01,4,"7478690,154893896,190856003,186069823"
2283792,2026-02-01,2,"87611291,71000499"
2283792,2025-11-01,2,"67863563,141346512"
2283792,2025-10-01,3,"658001744,69184767,214516147"
5101368,2026-01-01,1,388235396
5101368,2025-11-01,1,171850685
5101368,2025-07-01,1,17717191
5101368,2026-04-01,1,313684330
5101368,2026-02-01,1,85752414
5101368,2025-10-01,1,491220638
5101368,2025-08-01,1,48723510
47551737,2026-05-01,7,"396629813,55161886,181271569,298361200,350288611,81560554,175886"
47551737,2026-03-01,4,"224875294,7706990,440618561,14685458"
47551737,2025-07-01,9,"413588645,140454198,6425903,396955536,120140804,3152042,31669080,708758910,141531964"
47551737,2025-09-01,4,"548758810,242304481,405056722,147093273"
47551737,2025-11-01,7,"385019880,3189836,53030813,549785215,3463724,71281258,15741149"
47551737,2026-01-01,6,"84059619,46656500,103230244,255834956,359450642,102183879"
47551737,2026-04-01,6,"492280200,659242666,1120181,71632940,158610703,461596742"
47551737,2026-02-01,6,"549477687,2049066,83636398,666661583,34295271,10843372"
47551737,2025-06-01,10,"308891149,11854226,152652827,315150003,123136981,56255432,187008987,482112510,21485413,147093273"
47551737,2025-08-01,7,"192732969,22734083,10843372,216653605,659242666,569739580,110899850"
47551737,2025-10-01,8,"153791043,16756443,68631957,428260012,61724668,151768280,13597667,85768574"
47551737,2025-12-01,7,"88494108,20957366,409707938,78490775,397721529,285454151,267670413"
