listing_id,date,num_reviews,reviewers
13641555,2025-12-01,3,"82954318,340170084,187091809"
13641555,2025-08-01,1,515584517
13641555,2026-03-01,1,244343725
13641555,2026-05-01,3,"371854532,419380561,325467785"
16612464,2025-11-01,1,447657450
16612464,2025-09-01,3,"585925180,554877198,211587951"
16612464,2025-07-01,3,"92024292,398168908,499670666"
16612464,2025-12-01,1,527149729
16612464,2025-10-01,4,"290103322,494983758,217090843,723212043"
16612464,2025-08-01,2,"500440112,454531843"
16612464,2025-06-01,2,"282272718,682933204"
12473610,2025-07-01,5,"445606983,547564946,63144172,505880329,88151078"
12473610,2025-11-01,5,"149883850,128610992,462875778,141232805,445221039"
12473610,2026-03-01,4,"583546610,735769278,119019290,236295156"
12473610,2025-06-01,5,"125592497,261670281,680906217,679265085,21104680"
12473610,2025-10-01,5,"711422903,358709302,487809055,478164828,76109762"
12473610,2026-02-01,2,"741877894,345091431"
12473610,2025-09-01,1,466930902
12473610,2026-01-01,3,"716881099,394743036,181624269"
12473610,2025-12-01,1,193919638
12473610,2025-08-01,6,"53044001,302589513,426527886,524909058,709424521,690450045"
12473610,2026-04-01,3,"473624708,337727365,389383233"
18957447,2025-11-01,3,"521622956,571331549,495708949"
18957447,2025-07-01,1,708103190
18957447,2025-10-01,3,"501513426,273864559,142393720"
18957447,2025-06-01,1,372469407
18957447,2025-09-01,3,"452308995,206007728,720182822"
18957447,2026-04-01,3,"591557010,718931754,137149057"
18957447,2025-12-01,2,"508115949,500771213"
18957447,2025-08-01,2,"534557331,412733250"
5730584,2025-11-01,1,497462645
5730584,2025-09-01,1,390482422
5730584,2025-07-01,2,"308602883,345272832"
5730584,2025-12-01,3,"403850961,448103168,700712156"
5730584,2025-10-01,1,370576225
5730584,2025-08-01,1,686705347
5730584,2025-06-01,1,579305753
23688047,2026-05-01,1,232251889
23688047,2026-03-01,5,"663973294,349914967,752545463,200038659,447159494"
23688047,2026-01-01,2,"131812173,729441493"
23688047,2025-11-01,3,"360032201,275418872,387760969"
23688047,2025-09-01,3,"651474968,502987745,712138410"
23688047,2025-07-01,3,"343599557,328549711,358581263"
23688047,2026-04-01,3,"669108843,424309627,128617104"
23688047,2026-02-01,2,"291025364,514870437"
23688047,2025-12-01,4,"698430277,728360278,467531987,238185448"
23688047,2025-10-01,2,"451875018,549155517"
23688047,2025-08-01,4,"533513631,708983225,217920754,578735768"
23688047,2025-06-01,2,"48252537,701737734"
20153481,2026-01-01,1,678351072
20153481,2025-11-01,1,63555550
20153481,2025-09-01,1,260057737
20153481,2025-12-01,2,"135584323,580146506"
20153481,2025-10-01,2,"672578591,134761153"
28160017,2026-05-01,1,572619565
28160017,2026-03-01,3,"177373783,396438977,713646139"
28160017,2026-01-01,2,"347658713,168778779"
28160017,2025-11-01,3,"182507747,408032831,413764798"
