listing_id,date,num_reviews,reviewers
3209465,2025-09-01,1,704254633
3209465,2025-07-01,1,439857865
3209465,2025-06-01,4,"346551784,511892621,313652076,78504884"
4339632,2025-09-01,1,31826876
4339632,2025-07-01,1,328225961
4339632,2025-08-01,2,"565246764,580512827"
4339632,2025-06-01,2,"59931333,507054396"
19720016,2025-08-01,2,"97445805,510573381"
19720016,2025-07-01,3,"21610005,431739095,398558981"
19720016,2025-06-01,3,"94400891,563664424,106418621"
21485878,2026-02-01,1,670922483
21485878,2026-01-01,1,246871216
21485878,2025-10-01,2,"236618162,199814063"
21485878,2025-07-01,1,683697815
21485878,2025-06-01,2,"672372040,478830307"
14788303,2025-08-01,4,"213438664,327038409,712325950,516748481"
14788303,2025-07-01,5,"693779649,340519842,364496076,702445137,260258342"
14788303,2025-06-01,3,"133273161,577186675,244826429"
20865233,2026-03-01,3,"728597064,650657686,398416224"
20865233,2025-11-01,1,106169729
20865233,2025-09-01,6,"203504992,203255535,233264422,417059726,716841554,287106677"
20865233,2025-07-01,3,"27840296,110949941,677244974"
20865233,2026-01-01,1,66043743
20865233,2025-08-01,6,"673790363,134984683,544187284,257965636,592585259,705730787"
20865233,2025-06-01,4,"121942620,307045754,681810088,669892566"
20865233,2025-10-01,5,"540776742,142524177,721143876,142053628,245082193"
20865233,2026-04-01,5,"726020692,88540347,396824589,81764390,73448109"
18976364,2025-08-01,1,474862431
18976364,2025-07-01,1,235610645
1378434,2026-03-01,2,"416363773,8829816"
1378434,2026-04-01,2,"457146830,79456785"
1378434,2025-07-01,2,"696487335,397365703"
24373953,2026-05-01,3,"430300210,1678310159974777403,111000309"
24373953,2026-03-01,4,"397300564,114189254,745882564,359884496"
24373953,2025-09-01,4,"476963287,707837106,670630496,719646580"
24373953,2025-07-01,4,"411500462,348586392,461578516,708527575"
24373953,2025-11-01,4,"87629142,566135262,255749560,730260519"
24373953,2026-01-01,4,"163367143,170213834,247838474,551116692"
24373953,2026-04-01,3,"725379658,678617005,164072378"
24373953,2026-02-01,3,"419690337,579865487,727215079"
24373953,2025-12-01,3,"224651325,686882238,669402148"
24373953,2025-10-01,7,"712375028,120998695,190015469,723382055,723010713,313910796,326210773"
24373953,2025-08-01,7,"444364618,110680914,583070670,462719406,705172763,361771952,172989510"
24373953,2025-06-01,3,"227649754,382568091,428264394"
11907572,2026-03-01,1,739848320
11907572,2025-11-01,1,579310895
11907572,2025-07-01,2,"399424038,201602574"
11907572,2025-06-01,4,"691358935,561962830,184060989,330554036"
11907572,2026-05-01,1,56605505
11907572,2025-09-01,4,"556950650,403909240,462701399,35653447"
11907572,2026-04-01,1,516363609
11907572,2025-08-01,1,675964043
21151602,2026-02-01,1,269851590
17138204,2025-09-01,2,"462701399,534233398"
17138204,2025-07-01,1,531849848
17138204,2025-08-01,3,"549488148,15604044,526245852"
17138204,2025-06-01,1,272455192
21151659,2025-07-01,1,212531546
21151592,2026-02-01,1,281159952
21151592,2026-01-01,1,271411288
21151592,2025-12-01,1,193317527
21151592,2025-09-01,2,"413335577,275545276"
21151592,2025-07-01,1,461603098
5464159,2025-07-01,3,"270592083,176953709,394010913"
5464159,2025-10-01,1,580528345
5464159,2025-06-01,3,"318495552,693660436,385159410"
5464159,2026-01-01,3,"171863061,523479324,255274249"
5464159,2026-04-01,1,598345844
5464159,2025-12-01,1,324572033
5464159,2025-08-01,1,389929360
4802207,2025-07-01,2,"477879070,233701904"
14826845,2025-07-01,3,"393773612,202245600,534385313"
14826845,2026-05-01,1,349702123
14826845,2025-08-01,2,"663076207,49381433"
14826845,2025-06-01,5,"406123816,300293741,570586973,175744950,78350592"
14826845,2026-04-01,1,389498442
740004,2026-04-01,1,149578432
22832442,2025-11-01,1,465097686
22832442,2025-09-01,3,"223010778,371723856,719677816"
22832442,2025-07-01,7,"344962748,161880429,684710225,389141053,708005526,692421103,124209133"
22832442,2025-10-01,3,"442872507,258629025,448297722"
22832442,2025-08-01,3,"699430339,712342052,447771616"
22832442,2025-06-01,1,526808382
22065194,2025-07-01,1,310696347
22065194,2025-09-01,1,252173706
22065194,2025-06-01,1,577698866
18958405,2026-03-01,5,"468230447,480288299,386174908,519612847,415814660"
18958405,2025-11-01,3,"458107449,197345494,463621064"
18958405,2025-09-01,3,"508850115,109997993,460764637"
18958405,2025-07-01,3,"25362976,582971725,703852029"
18958405,2026-02-01,6,"674413859,350004287,254746192,516860102,496039194,351020207"
18958405,2025-12-01,2,"408201762,104042984"
18958405,2025-10-01,4,"493563407,566436449,192711132,393986552"
18958405,2025-08-01,6,"52934479,502896147,262051334,523758516,714131895,97017309"
18958405,2025-06-01,1,553819820
22903317,2025-09-01,3,"569302358,714881694,250986863"
22903317,2025-08-01,2,"407173752,467866462"
22903317,2025-07-01,3,"683021597,346470206,456854162"
22903317,2025-06-01,3,"251961541,305754461,190865894"
17509002,2026-03-01,1,510796241
17509002,2025-07-01,2,"669194887,517184990"
17509002,2026-02-01,1,184113690
17509002,2025-12-01,1,693394701
17509002,2025-08-01,1,560526794
21063051,2025-11-01,1,9018636
21063051,2026-03-01,1,681644069
21063051,2025-06-01,1,100133848
22935924,2025-09-01,1,567985349
22935924,2025-10-01,1,286748271
22935924,2025-11-01,1,214455983
22935924,2025-07-01,1,134135765
13155881,2026-03-01,2,"73866072,40077459"
13155881,2025-08-01,2,"190250573,514863480"
13155881,2025-07-01,1,709048770
21485595,2025-06-01,2,"697316080,588152961"
21151590,2026-04-01,1,121429267
21151590,2026-02-01,2,"195706024,242253656"
21151590,2025-11-01,1,298226527
23004536,2025-07-01,1,539289313
23004536,2025-11-01,1,492081725
23004536,2025-09-01,2,"208100393,394124974"
23004536,2025-06-01,5,"693981241,697460721,245640670,22159021,682483089"
23004536,2025-08-01,2,"706989504,303509534"
23004536,2026-04-01,3,"87589763,744815639,209362858"
23901698,2025-07-01,1,514340175
23901698,2025-11-01,1,99808675
23901698,2026-03-01,2,"745190800,128239367"
16816981,2025-06-01,1,669290800
20534179,2025-07-01,2,"656236061,536691435"
18292911,2026-03-01,1,576079513
18292911,2025-09-01,1,183590129
18292911,2025-07-01,1,232585666
18292911,2026-04-01,2,"248483706,524126955"
18292911,2026-02-01,1,427830735
18292911,2025-10-01,4,"702092797,178521225,565033332,723551337"
18292911,2025-08-01,2,"120625154,38115426"
18292911,2025-06-01,1,246671199
20889138,2026-04-01,1,214911448
20889138,2025-09-01,1,79652590
20889138,2025-08-01,3,"260058352,530964692,513251302"
20889138,2025-07-01,1,515276747
20889138,2025-06-01,2,"131164517,571634531"
22935915,2026-04-01,1,87685892
10981163,2026-03-01,4,"317555535,553715416,413145884,106399127"
10981163,2025-11-01,2,"520927328,477470597"
10981163,2025-07-01,1,469475548
10981163,2026-02-01,2,"329996692,433973424"
10981163,2025-10-01,4,"676562180,140271048,553020857,233885633"
10981163,2025-06-01,4,"266147422,259471811,364751365,316943047"
10981163,2025-09-01,5,"49284831,573192286,223100548,402289809,251512754"
10981163,2026-04-01,1,407287885
10981163,2025-12-01,3,"107358201,724419986,216589778"
10981163,2025-08-01,3,"455373625,565447723,293738092"
13676041,2026-05-01,2,"78169871,377760423"
13676041,2026-03-01,1,48756802
13676041,2026-01-01,1,594443193
13676041,2025-11-01,1,596373726
13676041,2025-07-01,1,506073421
13676041,2025-10-01,1,301924914
13676041,2025-06-01,3,"541140587,200024059,346468407"
19932303,2025-08-01,2,"553703055,697719565"
19932303,2025-07-01,3,"348240158,702519985,441288319"
19932303,2025-06-01,3,"144833087,133591385,692967407"
9793270,2025-07-01,1,372185725
9793270,2025-06-01,1,362190357
9793270,2025-08-01,1,170586571
9793270,2026-04-01,1,436305343
24851765,2026-05-01,2,"387019574,324231405"
24851765,2026-03-01,3,"746935721,337900180,328241737"
24851765,2025-11-01,2,"398451821,728749948"
24851765,2025-09-01,1,79486144
24851765,2025-07-01,2,"493602925,675391054"
24851765,2026-04-01,7,"77655828,100044170,495914959,434846231,95338238,311565277,471374922"
24851765,2025-10-01,3,"678508167,117339535,138772623"
24851765,2025-08-01,1,26390847
24851765,2025-06-01,4,"412827642,396546775,254440587,382738847"
7112640,2025-11-01,1,387039351
7112640,2025-09-01,1,514235216
7112640,2025-07-01,2,"596249164,277984437"
7112640,2026-04-01,2,"429593176,354788913"
7112640,2025-08-01,1,512811098
7112640,2025-06-01,1,48561980
11908180,2025-11-01,3,"88529550,31442042,349824154"
11908180,2025-07-01,4,"243652316,571133546,77747585,330197131"
11908180,2026-03-01,5,"520935314,541160663,91177628,720037578,671168374"
11908180,2025-06-01,3,"661634112,582937928,236576138"
11908180,2025-10-01,2,"447562005,456917528"
