listing_id,date,num_reviews,reviewers
18285399,2026-03-01,2,"350297402,19116517"
18285399,2026-01-01,3,"351834848,507797139,236966923"
18285399,2025-11-01,4,"681587683,160515420,551989587,35776546"
18285399,2025-07-01,2,"679022107,580559628"
18285399,2026-04-01,1,674799878
18285399,2025-10-01,1,118858302
18285399,2025-08-01,1,549682442
19313183,2025-07-01,1,402895546
19642670,2025-11-01,4,"659594416,722131280,432927629,422824364"
19642670,2026-03-01,2,"350086299,520836146"
19642670,2025-07-01,2,"588118403,435326163"
19642670,2025-10-01,3,"401409430,723834789,715752311"
19642670,2025-06-01,3,"404325209,700380143,451115274"
19642670,2026-02-01,1,91883718
19642670,2025-09-01,3,"714093304,428142589,382983338"
19642670,2026-01-01,4,"483511413,425845371,525883965,336694798"
19642670,2025-08-01,4,"709186870,711428162,328850773,409122783"
19642670,2025-12-01,2,"725550964,512972867"
19642670,2026-04-01,2,"350101351,679831199"
19331246,2025-10-01,2,"130566860,505752975"
19331246,2025-08-01,1,490391083
19331246,2025-06-01,1,579638445
16305217,2025-12-01,1,713922627
16305217,2025-07-01,2,"223150718,52809878"
18834691,2025-06-01,1,239423646
18834691,2025-07-01,2,"706595106,703897109"
18834691,2025-08-01,1,331827163
18834691,2025-09-01,5,"571783763,159243320,485993700,366023220,252183261"
18834691,2025-10-01,8,"518041109,528041195,562922111,144105135,547126071,71739862,710013053,432638401"
18834691,2025-11-01,7,"472102603,509895998,688565399,363371266,677227101,696390214,690264710"
18834691,2026-01-01,1,559026166
18834691,2025-12-01,7,"436209373,155457418,661752711,395265908,477849493,540734802,395954326"
19313160,2025-07-01,1,528120109
19313198,2025-11-01,1,52574989
19313198,2026-04-01,1,5240684
19313198,2025-12-01,2,"257211713,728040878"
11545889,2025-10-01,2,"348032092,395014321"
23181000,2026-05-01,4,"241139823,386666131,755329648,693158077"
23181000,2026-03-01,4,"238823536,139889431,392112764,95333293"
23181000,2026-01-01,6,"575974050,661714197,568391736,484819666,297733883,678366676"
23181000,2025-11-01,3,"695664395,244094206,334858036"
23181000,2025-09-01,2,"86952205,693404262"
23181000,2025-07-01,6,"697673178,364743521,702276882,584705143,193461365,201417134"
23181000,2026-04-01,2,"50320026,466205835"
23181000,2026-02-01,4,"439276937,442428992,744613653,450133524"
23181000,2025-12-01,6,"678644900,503279580,158079678,184999084,54602698,38010971"
23181000,2025-10-01,3,"399913790,429817955,286831436"
23181000,2025-08-01,2,"415653414,298337637"
23181000,2025-06-01,1,154250056
21564657,2026-05-01,1,218115913
21564657,2026-03-01,1,445358884
