listing_id,date,num_reviews,reviewers
47949964,2025-12-01,1,13677856
31471086,2026-04-01,1,245179380
31471086,2025-12-01,2,"223210824,734368543"
31471086,2025-11-01,2,"477326932,92715277"
31471086,2025-10-01,1,59071817
31471086,2025-09-01,3,"352076600,24035634,100156199"
31471086,2025-07-01,4,"430458877,161203933,44942304,142913294"
31471086,2025-06-01,2,"700991492,150601616"
31471086,2026-01-01,1,48074514
18157303,2025-06-01,1,439584544
13145810,2026-05-01,1,559485125
13145810,2025-08-01,1,469546641
13145810,2025-06-01,2,"368921552,467483430"
47858546,2026-05-01,2,"57540787,341283263"
47858546,2026-03-01,5,"371209745,153383450,83993260,126969808,544812710"
47858546,2025-11-01,1,178478745
47858546,2025-09-01,5,"89898278,571645042,96084661,171844474,537780285"
47858546,2025-07-01,5,"358244442,703372804,528909938,162588903,210938547"
47858546,2026-04-01,6,"73383628,749241191,109711099,276290065,16093578,511886153"
47858546,2026-02-01,3,"328092991,495904701,251386518"
47858546,2025-12-01,5,"33073343,310544235,331205700,553152390,160624969"
47858546,2025-10-01,5,"172620129,598663432,384725394,73622350,121372990"
47858546,2025-08-01,4,"249015873,11240862,304025629,164811036"
47858546,2025-06-01,7,"182218117,55606845,566610977,109322830,122919917,293788123,340758414"
28379838,2025-11-01,1,124857910
28379838,2025-07-01,2,"200411518,18059452"
28379838,2026-03-01,1,358861427
28379838,2025-10-01,1,724157863
28379838,2025-08-01,2,"41872174,89932683"
28379838,2025-06-01,5,"60048712,416289458,249716476,250580728,689686934"
28379838,2026-04-01,2,"754758998,875591"
29537460,2026-05-01,1,146665929
29537460,2026-04-01,2,"93071302,25319451"
29537460,2026-03-01,3,"576382117,397893351,226416457"
29537460,2026-02-01,2,"408421090,150489391"
29537460,2026-01-01,2,"165804643,26863530"
29537460,2025-12-01,2,"36825597,168330859"
29537460,2025-11-01,3,"159245044,372911372,79383384"
29537460,2025-10-01,2,"106897067,272074722"
29537460,2025-09-01,3,"91883437,79386290,120314508"
29537460,2025-08-01,1,565943455
29537460,2025-07-01,6,"12264478,575652291,3737985,29504481,703134805,75497138"
29537460,2025-06-01,4,"209092215,95126154,150962705,188057047"
42758651,2026-03-01,3,"753303695,22815681,402463485"
42758651,2025-11-01,2,"688855311,322736754"
42758651,2025-09-01,2,"233445782,60899919"
42758651,2026-04-01,2,"389803861,96152923"
42758651,2025-08-01,1,174369341
42758651,2025-06-01,3,"107151500,302812725,447621364"
43725815,2025-11-01,2,"200938702,481297322"
43725815,2025-09-01,3,"452581598,422192447,72460231"
43725815,2025-07-01,4,"503122046,188778419,196350935,431281031"
43725815,2026-03-01,3,"146534991,442662086,290123510"
43725815,2025-12-01,2,"188341954,59604164"
43725815,2025-10-01,2,"141728446,89179118"
43725815,2025-08-01,1,702048695
43725815,2025-06-01,2,"590299759,71124104"
43725815,2026-04-01,2,"439555289,394978222"
42770861,2026-05-01,3,"13015379,138907407,63561007"
42770861,2026-03-01,3,"598010923,29573074,344300003"
42770861,2026-01-01,2,"484127242,34138909"
42770861,2025-11-01,2,"13337928,652089933"
42770861,2025-09-01,2,"346203055,89991230"
42770861,2026-04-01,7,"376895803,81293211,285485426,211367860,59798071,653119378,14415328"
42770861,2026-02-01,2,"55942354,577247438"
42770861,2025-12-01,2,"22262153,118663564"
42770861,2025-08-01,3,"148210689,201915627,60635210"
42770861,2025-06-01,4,"392017184,10183947,338121966,584519359"
39311170,2025-07-01,2,"547344359,202321812"
39311170,2025-08-01,3,"551358708,480623829,711595629"
39311170,2025-06-01,3,"697372941,674295150,195692514"
41981204,2026-03-01,2,"748671332,340218597"
41981204,2025-07-01,5,"143376553,136028585,478461598,691306258,241989125"
41981204,2025-11-01,2,"275775805,531316786"
41981204,2026-04-01,3,"540073124,211527923,532599999"
41981204,2025-06-01,4,"262352238,275602803,435145381,188943665"
41981204,2025-08-01,3,"579124780,44428410,501078129"
41981204,2025-10-01,4,"262584487,452437344,52587044,232409014"
41981204,2025-12-01,2,"79915548,505270503"
41981204,2026-02-01,1,720658089
6784655,2025-07-01,2,"446029672,9508532"
6784655,2025-11-01,1,701427505
6784655,2025-09-01,1,18265638
6784655,2026-03-01,3,"113405917,35190811,560396101"
6784655,2025-06-01,2,"375440175,150601616"
6784655,2025-08-01,2,"75481847,18596058"
6784655,2026-04-01,1,397547052
18856710,2025-07-01,3,"457018020,472220326,383213781"
18856710,2025-06-01,3,"696786656,576016852,166299181"
43433129,2026-03-01,4,"129413448,293527297,117703991,256890419"
43433129,2025-11-01,3,"514170302,16716517,373984606"
43433129,2025-09-01,4,"347037260,52674842,71412053,56885765"
43433129,2026-01-01,4,"280710732,279462026,1023517,536672713"
43433129,2026-04-01,4,"444782389,680996744,126758513,728916970"
43433129,2026-02-01,3,"326699142,742922435,153760864"
43433129,2025-12-01,4,"490403939,110906011,348586527,247300957"
43433129,2025-10-01,4,"404760390,469707974,203568126,108171155"
43433129,2025-06-01,3,"441964305,557088755,498892961"
47950349,2025-08-01,4,"705969333,69517110,16414521,147393238"
47795505,2026-03-01,2,"273634209,708010857"
47795505,2025-12-01,1,593342695
47795505,2025-10-01,4,"49106844,704986821,537950741,13608059"
47795505,2025-09-01,6,"673828791,75362900,311046020,455837300,438610393,52868391"
47795505,2025-08-01,6,"287807102,567382104,285140241,93546177,82325100,390398980"
47795505,2025-07-01,3,"116122713,695776876,144625384"
47795505,2025-06-01,4,"500244758,21880968,441656262,545560513"
20695025,2026-03-01,7,"425384459,744952786,365396358,118213564,408684892,476740009,754283450"
20695025,2025-07-01,8,"261237689,701315498,344522784,117638180,565790291,704581003,81720274,77835525"
20695025,2025-11-01,6,"76968184,53192855,515264296,679223047,472811341,556727752"
20695025,2026-02-01,9,"518268880,707118449,570391459,101123384,139647496,519501089,360164459,507566724,243286354"
20695025,2025-10-01,7,"143960047,48848420,21803686,264617872,479998775,109322830,149279400"
20695025,2025-06-01,14,"673202751,381460361,565180697,12880503,102776085,181641578,414604760,393496171,273124441,675973114,43288482,343873903,181154821,254208894"
20695025,2026-05-01,2,"478876245,739831151"
20695025,2025-09-01,7,"373002238,710050363,236362460,240792642,23562362,370467976,273298628"
